"","PNAME","JCODE","CancerM","CardioM","CerebroM","PneumoniaM","AccidentM","TrafficM","SuicideM","KidneyM","LiverM","DiabetesM","HypertensM","TBM","CancerF","CardioF","CerebroF","PneumoniaF","AccidentF","TrafficF","SuicideF","KidneyF","LiverF","DiabetesF","HypertensF","TBF"
"35","Yamaguchi",35,3.7,1.52,0.78,0.94,0.48,0.14,0.61,0.15,0.19,0.1,0.02,0.01,2.85,1.5,0.78,0.8,0.27,0.08,0.29,0.15,0.11,0.07,0.04,0.01
"36","Tokushima",36,3.43,1.32,0.74,0.93,0.53,0.15,0.61,0.16,0.22,0.13,0.04,0.02,2.62,1.34,0.71,0.76,0.36,0.05,0.35,0.19,0.13,0.09,0.04,0.01
"37","Kagawa",37,3.68,1.67,0.73,0.6,0.6,0.23,0.63,0.14,0.19,0.13,0.03,0.01,2.58,1.56,0.7,0.52,0.33,0.1,0.3,0.17,0.11,0.09,0.05,0
"38","Ehime",38,3.67,1.77,0.75,0.8,0.63,0.18,0.67,0.16,0.22,0.09,0.03,0.01,2.7,1.7,0.75,0.6,0.34,0.07,0.31,0.15,0.1,0.09,0.03,0.01
"39","Kouchi",39,3.69,1.52,0.81,0.91,0.73,0.17,0.6,0.18,0.24,0.1,0.03,0.01,2.88,1.56,0.77,0.78,0.38,0.06,0.29,0.18,0.1,0.08,0.04,0.01
"40","Fukuoka",40,3.99,0.9,0.72,0.85,0.49,0.14,0.65,0.13,0.21,0.14,0.06,0.01,3.18,1.03,0.66,0.72,0.32,0.04,0.26,0.15,0.11,0.09,0.07,0.01
"41","Saga",41,3.91,1.09,0.78,0.86,0.55,0.18,0.62,0.14,0.19,0.12,0.06,0.01,3.09,1.2,0.76,0.77,0.29,0.06,0.18,0.13,0.11,0.09,0.07,0.01
"42","Nagasaki",42,3.93,1.32,0.7,0.84,0.55,0.14,0.64,0.15,0.2,0.08,0.03,0.01,3.05,1.36,0.69,0.67,0.33,0.05,0.22,0.15,0.09,0.07,0.05,0.01
"43","Kumamoto",43,3.62,1.35,0.76,0.78,0.5,0.14,0.66,0.15,0.19,0.11,0.03,0.02,2.8,1.35,0.74,0.6,0.28,0.06,0.27,0.17,0.1,0.07,0.04,0.01
"44","Oita",44,3.52,1.34,0.76,0.85,0.54,0.14,0.6,0.15,0.21,0.12,0.03,0.01,2.76,1.26,0.74,0.71,0.36,0.06,0.29,0.17,0.09,0.08,0.05,0.01
"45","Miyazaki",45,3.73,1.52,0.87,0.89,0.59,0.17,0.73,0.16,0.23,0.11,0.03,0.01,2.75,1.55,0.87,0.72,0.29,0.04,0.28,0.15,0.1,0.08,0.04,0.01
"46","Kagoshima",46,3.58,1.33,0.9,0.95,0.64,0.18,0.63,0.17,0.24,0.13,0.03,0.01,2.83,1.3,0.95,0.8,0.34,0.06,0.26,0.19,0.09,0.1,0.04,0.01
"47","Okinawa",47,3.5,1.46,0.83,0.75,0.5,0.15,0.7,0.15,0.4,0.16,0.06,0.02,2.91,1.34,0.72,0.57,0.22,0.04,0.29,0.16,0.21,0.13,0.05,0.01
