6,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","ínàÊéØï î‘çÜ","îÈìΩèàóù","îÈìΩêÊèÓïÒ","çáéZínàÊ","ìsìπï{åßñº","ésãÊí¨ë∫ñº","ëÂéöÅEí¨ñº","éöÅEíöñ⁄ñº","ëçêî 1)","êeë∞ÇÃÇ›ÇÃê¢ë—","äjâ∆ë∞ê¢ë—","Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—","Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—","äjâ∆ë∞à»äOÇÃê¢ë—","îÒêeë∞Çä‹Çﬁê¢ë—","íPì∆ê¢ë—","ÅiçƒåfÅj3ê¢ë„ê¢ë—","ëçêî 1)","êeë∞ÇÃÇ›ÇÃê¢ë—","äjâ∆ë∞ê¢ë—","Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—","Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—","äjâ∆ë∞à»äOÇÃê¢ë—","îÒêeë∞Çä‹Çﬁê¢ë—","íPì∆ê¢ë—","ÅiçƒåfÅj3ê¢ë„ê¢ë—","ëçêî 1)","êeë∞ÇÃÇ›ÇÃê¢ë—","äjâ∆ë∞ê¢ë—","Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—","Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—","äjâ∆ë∞à»äOÇÃê¢ë—","îÒêeë∞Çä‹Çﬁê¢ë—","íPì∆ê¢ë—","ÅiçƒåfÅj3ê¢ë„ê¢ë—","ëçêî 1)","êeë∞ÇÃÇ›ÇÃê¢ë—","äjâ∆ë∞ê¢ë—","Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—","Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—","äjâ∆ë∞à»äOÇÃê¢ë—","îÒêeë∞Çä‹Çﬁê¢ë—","íPì∆ê¢ë—","ÅiçƒåfÅj3ê¢ë„ê¢ë—","ëçêî 1)","êeë∞ÇÃÇ›ÇÃê¢ë—","äjâ∆ë∞ê¢ë—","Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—","Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—","äjâ∆ë∞à»äOÇÃê¢ë—","îÒêeë∞Çä‹Çﬁê¢ë—","íPì∆ê¢ë—","ÅiçƒåfÅj3ê¢ë„ê¢ë—","ëçêî 1)","êeë∞ÇÃÇ›ÇÃê¢ë—","äjâ∆ë∞ê¢ë—","Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—","Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—","äjâ∆ë∞à»äOÇÃê¢ë—","îÒêeë∞Çä‹Çﬁê¢ë—","íPì∆ê¢ë—","ÅiçƒåfÅj3ê¢ë„ê¢ë—","ëçêî 1)","êeë∞ÇÃÇ›ÇÃê¢ë—","äjâ∆ë∞ê¢ë—","Ç§ÇøïvïwÇÃÇ›ÇÃê¢ë—","Ç§ÇøïvïwÇ∆éqãüÇ©ÇÁê¨ÇÈê¢ë—","äjâ∆ë∞à»äOÇÃê¢ë—","îÒêeë∞Çä‹Çﬁê¢ë—","íPì∆ê¢ë—","ÅiçƒåfÅj3ê¢ë„ê¢ë—"
2675,"25213","2010","2","","","","é†âÍåß","ìåãﬂç]és","è„ìÏí¨","",35,32,18,9,9,14,-,3,10,120,117,51,18,33,66,-,3,52,3.4285714286,3.6562500000,2.8333333333,2.0000000000,3.6666666667,4.7142857143,-,1.0000000000,5.2000000000,6,6,4,-,4,2,-,-,2,12,12,5,-,5,7,-,-,7,22,19,7,5,2,12,-,3,9,8,5,5,5,-,-,-,3,-
2676,"25213","2020","2","","","","é†âÍåß","ìåãﬂç]és","éséqìaí¨","",269,145,109,33,51,36,1,123,24,601,475,317,66,189,158,3,123,124,2.2342007435,3.2758620690,2.9082568807,2.0000000000,3.7058823529,4.3888888889,3.0000000000,1.0000000000,5.1666666667,32,32,27,-,24,5,-,-,5,68,68,54,1,39,14,-,-,14,62,50,19,9,4,31,-,12,21,21,9,7,7,-,2,-,12,-
2677,"25213","2030","2","","","","é†âÍåß","ìåãﬂç]és","éséqâ´í¨","",32,27,7,5,2,20,-,5,17,127,122,18,10,8,104,-,5,94,3.9687500000,4.5185185185,2.5714285714,2.0000000000,4.0000000000,5.2000000000,-,1.0000000000,5.5294117647,3,3,1,-,1,2,-,-,2,11,11,2,-,2,9,-,-,9,22,20,2,2,-,18,-,2,16,4,2,2,2,-,-,-,2,-
2678,"25213","2040","2","","","","é†âÍåß","ìåãﬂç]és","éséqèºà‰í¨","",30,24,20,8,10,4,-,6,2,85,79,60,16,39,19,-,6,13,2.8333333333,3.2916666667,3.0000000000,2.0000000000,3.9000000000,4.7500000000,-,1.0000000000,6.5000000000,2,2,2,-,2,-,-,-,-,5,5,4,-,4,1,-,-,1,16,11,7,7,-,4,-,5,2,10,5,5,5,-,-,-,5,-
2679,"25213","2050","2","","","","é†âÍåß","ìåãﬂç]és","éséqêÏå¥í¨","",160,132,98,17,70,34,-,28,29,517,489,323,34,261,166,-,28,151,3.2312500000,3.7045454545,3.2959183673,2.0000000000,3.7285714286,4.8823529412,-,1.0000000000,5.2068965517,24,24,15,-,13,9,-,-,9,78,78,59,-,53,19,-,-,19,47,45,16,8,6,29,-,2,26,9,7,7,7,-,-,-,2,-
2680,"25213","2060","2","","","","é†âÍåß","ìåãﬂç]és","ïΩó—í¨","",38,37,25,7,13,12,-,1,10,123,122,71,14,47,51,-,1,45,3.2368421053,3.2972972973,2.8400000000,2.0000000000,3.6153846154,4.2500000000,-,1.0000000000,4.5000000000,2,2,1,-,1,1,-,-,1,12,12,5,-,4,7,-,-,7,24,24,13,6,4,11,-,-,9,5,5,4,4,-,1,-,-,-
2681,"25213","2070","2","","","","é†âÍåß","ìåãﬂç]és","êŒìÉí¨","",171,143,77,25,38,66,1,27,52,578,546,221,50,136,325,5,27,280,3.3801169591,3.8181818182,2.8701298701,2.0000000000,3.5789473684,4.9242424242,5.0000000000,1.0000000000,5.3846153846,12,12,1,-,1,11,-,-,11,38,37,9,-,6,28,1,-,27,122,101,43,21,14,58,1,20,44,40,20,17,17,-,3,-,20,-
2682,"25213","207001","3","","","","é†âÍåß","ìåãﬂç]és","êŒìÉí¨","",108,94,43,15,18,51,1,13,39,378,360,114,30,61,246,5,13,209,3.5000000000,3.8297872340,2.6511627907,2.0000000000,3.3888888889,4.8235294118,5.0000000000,1.0000000000,5.3589743590,9,9,-,-,-,9,-,-,9,26,25,2,-,1,23,1,-,22,83,74,28,12,8,46,1,8,34,20,12,9,9,-,3,-,8,-
2683,"25213","207002","3","","","","é†âÍåß","ìåãﬂç]és","êŒìÉí¨","",63,49,34,10,20,15,-,14,13,200,186,107,20,75,79,-,14,71,3.1746031746,3.7959183673,3.1470588235,2.0000000000,3.7500000000,5.2666666667,-,1.0000000000,5.4615384615,3,3,1,-,1,2,-,-,2,12,12,7,-,5,5,-,-,5,39,27,15,9,6,12,-,12,10,20,8,8,8,-,-,-,12,-
2684,"25213","2080","2","","","","é†âÍåß","ìåãﬂç]és","„Yìcí¨","",74,60,38,16,18,22,-,14,15,217,203,104,32,61,99,-,14,75,2.9324324324,3.3833333333,2.7368421053,2.0000000000,3.3888888889,4.5000000000,-,1.0000000000,5.0000000000,5,5,2,-,2,3,-,-,3,14,14,7,-,6,7,-,-,7,42,35,14,5,7,21,-,7,14,11,4,3,3,-,1,-,7,-
2685,"25213","2090","2","","","","é†âÍåß","ìåãﬂç]és","äóê∂éõí¨","",45,43,15,6,5,28,-,2,26,195,193,42,12,19,151,-,2,145,4.3333333333,4.4883720930,2.8000000000,2.0000000000,3.8000000000,5.3928571429,-,1.0000000000,5.5769230769,2,2,-,-,-,2,-,-,2,19,19,4,-,3,15,-,-,15,34,32,6,4,1,26,-,2,24,6,4,4,4,-,-,-,2,-
2686,"25213","2100","2","","","","é†âÍåß","ìåãﬂç]és","ç˜êÏìåí¨","",105,89,67,19,40,22,1,15,18,327,310,206,38,147,104,2,15,92,3.1142857143,3.4831460674,3.0746268657,2.0000000000,3.6750000000,4.7272727273,2.0000000000,1.0000000000,5.1111111111,25,25,24,-,22,1,-,-,1,45,45,33,-,28,12,-,-,12,41,35,15,9,4,20,-,6,16,15,9,8,8,-,1,-,6,-
2687,"25213","2110","2","","","","é†âÍåß","ìåãﬂç]és","ç˜êÏêºí¨","",220,194,137,39,83,57,1,25,43,735,708,435,78,315,273,2,25,223,3.3409090909,3.6494845361,3.1751824818,2.0000000000,3.7951807229,4.7894736842,2.0000000000,1.0000000000,5.1860465116,36,36,29,-,29,7,-,-,7,87,87,65,-,59,22,-,-,21,83,74,25,12,8,49,-,9,39,17,8,8,8,-,-,-,9,-
2688,"25213","2120","2","","","","é†âÍåß","ìåãﬂç]és","êÏçáí¨","",315,220,100,29,43,120,1,94,92,966,870,278,58,159,592,2,94,503,3.0666666667,3.9545454545,2.7800000000,2.0000000000,3.6976744186,4.9333333333,2.0000000000,1.0000000000,5.4673913043,23,23,7,-,7,16,-,-,16,78,78,15,-,14,63,-,-,63,169,155,55,19,14,100,-,14,75,32,18,15,14,-,3,-,14,-
2689,"25213","212001","3","","","","é†âÍåß","ìåãﬂç]és","êÏçáí¨","",48,38,24,5,10,14,-,10,10,145,135,67,10,38,68,-,10,55,3.0208333333,3.5526315789,2.7916666667,2.0000000000,3.8000000000,4.8571428571,-,1.0000000000,5.5000000000,1,1,-,-,-,1,-,-,1,9,9,2,-,2,7,-,-,7,24,20,10,3,-,10,-,4,7,7,3,3,2,-,-,-,4,-
2690,"25213","212002","3","","","","é†âÍåß","ìåãﬂç]és","êÏçáí¨","",69,57,21,8,8,36,-,12,29,259,247,53,16,26,194,-,12,172,3.7536231884,4.3333333333,2.5238095238,2.0000000000,3.2500000000,5.3888888889,-,1.0000000000,5.9310344828,8,8,-,-,-,8,-,-,8,25,25,2,-,2,23,-,-,23,47,44,13,5,4,31,-,3,25,8,5,4,4,-,1,-,3,-
2691,"25213","212003","3","","","","é†âÍåß","ìåãﬂç]és","êÏçáí¨","",33,27,13,3,7,14,1,5,10,113,106,39,6,26,67,2,5,53,3.4242424242,3.9259259259,3.0000000000,2.0000000000,3.7142857143,4.7857142857,2.0000000000,1.0000000000,5.3000000000,4,4,3,-,3,1,-,-,1,11,11,5,-,4,6,-,-,6,18,16,4,1,1,12,-,2,8,3,1,1,1,-,-,-,2,-
2692,"25213","212004","3","","","","é†âÍåß","ìåãﬂç]és","êÏçáí¨","",62,58,19,6,7,39,-,4,30,242,238,51,12,26,187,-,4,158,3.9032258065,4.1034482759,2.6842105263,2.0000000000,3.7142857143,4.7948717949,-,1.0000000000,5.2666666667,7,7,2,-,2,5,-,-,5,21,21,3,-,3,18,-,-,18,49,46,14,4,4,32,-,3,23,7,4,3,3,-,1,-,3,-
2693,"25213","212005","3","","","","é†âÍåß","ìåãﬂç]és","êÏçáí¨","",103,40,23,7,11,17,-,63,13,207,144,68,14,43,76,-,63,65,2.0097087379,3.6000000000,2.9565217391,2.0000000000,3.9090909091,4.4705882353,-,1.0000000000,5.0000000000,3,3,2,-,2,1,-,-,1,12,12,3,-,3,9,-,-,9,31,29,14,6,5,15,-,2,12,7,5,4,4,-,1,-,2,-
