1,"ïΩê¨22îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12,"25201","0050","2","","","","é†âÍåß","ëÂí√és","äãêÏí¨ãèí¨","",6,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,4,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
13,"25201","0060","2","","","","é†âÍåß","ëÂí√és","äãêÏî~Émñÿí¨","",26,2,-,-,-,-,1,-,-,1,7,-,-,-,2,-,2,1,-,5,2,3,13,1,-,-,-,-,1,-,-,1,3,-,-,-,1,-,1,-,-,4,-,1,13,1,-,-,-,-,-,-,-,-,4,-,-,-,1,-,1,1,-,1,2,2
14,"25201","0070","2","","","","é†âÍåß","ëÂí√és","äãêÏä—à‰í¨","",2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,"25201","0080","2","","","","é†âÍåß","ëÂí√és","äãêÏç◊êÏí¨","",8,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,2,-,2,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,1,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,2,-,-,-,-
16,"25201","0090","2","","","","é†âÍåß","ëÂí√és","à…çÅóßìÏèØí¨","",291,30,30,-,-,19,51,1,4,11,48,7,1,10,13,10,12,23,2,10,6,33,168,21,21,-,-,17,34,1,3,10,26,1,1,6,4,6,3,5,1,8,5,16,123,9,9,-,-,2,17,-,1,1,22,6,-,4,9,4,9,18,1,2,1,17
17,"25201","0100","2","","","","é†âÍåß","ëÂí√és","à…çÅóßå¸ç›íní¨","",101,8,8,-,-,7,14,-,2,7,17,1,1,1,6,4,7,8,2,6,2,8,55,5,5,-,-,7,9,-,1,7,6,1,1,1,1,3,2,2,-,4,2,3,46,3,3,-,-,-,5,-,1,-,11,-,-,-,5,1,5,6,2,2,-,5
18,"25201","0110","2","","","","é†âÍåß","ëÂí√és","à…çÅóßê∂í√í¨","",144,18,16,-,-,11,24,4,1,6,16,5,-,2,4,5,8,16,2,5,7,10,87,12,11,-,-,9,18,3,1,4,12,3,-,-,-,3,4,1,1,4,5,7,57,6,5,-,-,2,6,1,-,2,4,2,-,2,4,2,4,15,1,1,2,3
19,"25201","0120","2","","","","é†âÍåß","ëÂí√és","à…çÅóßè„ç›íní¨","",41,11,11,-,-,2,3,-,2,-,4,-,-,4,1,1,1,3,-,1,1,7,23,6,6,-,-,2,2,-,1,-,2,-,-,2,-,1,-,1,-,1,1,4,18,5,5,-,-,-,1,-,1,-,2,-,-,2,1,-,1,2,-,-,-,3
20,"25201","0130","2","","","","é†âÍåß","ëÂí√és","à…çÅóßñkç›íní¨","",56,3,3,-,-,7,11,-,-,4,5,1,-,-,2,5,4,5,1,5,-,3,28,-,-,-,-,6,4,-,-,4,2,1,-,-,-,2,2,-,1,4,-,2,28,3,3,-,-,1,7,-,-,-,3,-,-,-,2,3,2,5,-,1,-,1
21,"25201","0140","2","","","","é†âÍåß","ëÂí√és","à…çÅóßâ∫ç›íní¨","",144,4,4,-,-,19,15,1,1,6,21,-,1,2,12,6,12,15,2,9,5,13,76,3,3,-,-,16,11,-,-,4,9,-,1,1,5,2,4,4,2,5,4,5,68,1,1,-,-,3,4,1,1,2,12,-,-,1,7,4,8,11,-,4,1,8
22,"25201","0150","2","","","","é†âÍåß","ëÂí√és","à…çÅóßâ∫ó¥âÿí¨","",289,14,12,-,-,56,20,1,1,10,31,5,1,4,29,11,8,26,1,30,6,35,167,11,9,-,-,46,18,1,-,8,13,2,1,-,11,5,6,3,1,21,4,16,122,3,3,-,-,10,2,-,1,2,18,3,-,4,18,6,2,23,-,9,2,19
23,"25201","0160","2","","","","é†âÍåß","ëÂí√és","à…çÅóßè„ó¥âÿí¨","",95,8,8,-,-,6,7,-,-,3,14,1,-,6,4,2,3,20,-,6,1,14,51,5,5,-,-,5,1,-,-,3,9,1,-,3,1,1,1,8,-,6,1,6,44,3,3,-,-,1,6,-,-,-,5,-,-,3,3,1,2,12,-,-,-,8
24,"25201","0170","2","","","","é†âÍåß","ëÂí√és","à…çÅóßìríÜí¨","",90,8,8,-,-,9,15,-,1,1,9,2,-,2,10,1,3,16,1,3,-,9,44,6,6,-,-,8,10,-,1,1,3,-,-,1,4,-,3,1,-,1,-,5,46,2,2,-,-,1,5,-,-,-,6,2,-,1,6,1,-,15,1,2,-,4
25,"25201","0180","2","","","","é†âÍåß","ëÂí√és","ê^ñÏ","",2583,56,56,2,-,170,383,21,57,133,452,66,46,88,165,100,134,290,20,140,102,158,1489,32,32,1,-,145,268,19,40,116,222,35,30,63,63,42,62,80,12,96,79,84,1094,24,24,1,-,25,115,2,17,17,230,31,16,25,102,58,72,210,8,44,23,74
26,"25201","018001","3","","","","é†âÍåß","ëÂí√és","ê^ñÏ","ÇPíöñ⁄",531,11,11,-,-,32,73,4,14,19,79,10,8,21,40,21,35,62,7,34,32,29,301,6,6,-,-,25,55,4,9,18,38,5,4,17,15,9,17,15,3,23,25,13,230,5,5,-,-,7,18,-,5,1,41,5,4,4,25,12,18,47,4,11,7,16
