3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","éÂê¢ë—êî","","","","","","","","éÂê¢ë—êlàı","","","","","","","","1ê¢ë—ìñÇΩÇËêlàı","","","","","","","","1ê¢ë—ìñÇΩÇËé∫êî","","","","","","","","1ê¢ë—ìñÇΩÇËâÑÇ◊ñ êœ(áu)","","","","","","","","ëçé∫êî","","","","","","","","ëçâÑÇ◊ñ êœ(áu)","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","ésãÊí¨ë∫","í¨íöéö","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº","ëçêî","àÍåÀåö","í∑âÆåö","ã§ìØèZëÓ","1•2äKåö","3Å`5äK","6äKåöà»è„","ÇªÇÃëº"
17,"25201","0110","ëÂí√és","à…çÅóßÅ@ê∂í√í¨",71,71,-,-,-,-,-,-,314,314,-,-,-,-,-,-,4.4225352113,4.4225352113,-,-,-,-,-,-,8.7183098592,8.7183098592,-,-,-,-,-,-,157.6197183099,157.6197183099,-,-,-,-,-,-,619,619,-,-,-,-,-,-,11191,11191,-,-,-,-,-,-
18,"25201","0120","ëÂí√és","à…çÅóßÅ@è„ç›íní¨",21,21,-,-,-,-,-,-,67,67,-,-,-,-,-,-,3.1904761905,3.1904761905,-,-,-,-,-,-,7.9523809524,7.9523809524,-,-,-,-,-,-,116.9523809524,116.9523809524,-,-,-,-,-,-,167,167,-,-,-,-,-,-,2456,2456,-,-,-,-,-,-
19,"25201","0130","ëÂí√és","à…çÅóßÅ@ñkç›íní¨",44,44,-,-,-,-,-,-,164,164,-,-,-,-,-,-,3.7272727273,3.7272727273,-,-,-,-,-,-,8.25,8.25,-,-,-,-,-,-,146.4318181818,146.4318181818,-,-,-,-,-,-,363,363,-,-,-,-,-,-,6443,6443,-,-,-,-,-,-
20,"25201","0140","ëÂí√és","à…çÅóßÅ@â∫ç›íní¨",88,83,5,-,-,-,-,-,359,348,11,-,-,-,-,-,4.0795454545,4.1927710843,2.2,-,-,-,-,-,7.8295454545,8.0963855422,3.4,-,-,-,-,-,159.6136363636,166.5542168675,44.6,-,-,-,-,-,689,672,17,-,-,-,-,-,14046,13824,223,-,-,-,-,-
21,"25201","0150","ëÂí√és","à…çÅóßÅ@â∫ó≥âÿí¨",201,191,10,-,-,-,-,-,678,645,33,-,-,-,-,-,3.3731343284,3.3769633508,3.3,-,-,-,-,-,6.6865671642,6.8743455497,3.1,-,-,-,-,-,117.631840796,121.3821989529,46,-,-,-,-,-,1344,1313,31,-,-,-,-,-,23644,23184,460,-,-,-,-,-
22,"25201","0160","ëÂí√és","à…çÅóßÅ@è„ó≥âÿí¨",39,39,-,-,-,-,-,-,174,174,-,-,-,-,-,-,4.4615384615,4.4615384615,-,-,-,-,-,-,8.641025641,8.641025641,-,-,-,-,-,-,162.8461538462,162.8461538462,-,-,-,-,-,-,337,337,-,-,-,-,-,-,6351,6351,-,-,-,-,-,-
23,"25201","0170","ëÂí√és","à…çÅóßÅ@ìríÜí¨",75,71,-,4,4,-,-,-,255,251,-,4,4,-,-,-,3.4,3.5352112676,-,1,1,-,-,-,7.0133333333,7.3521126761,-,1,1,-,-,-,151.2266666667,159.1830985915,-,10,10,-,-,-,526,522,-,4,4,-,-,-,11342,11302,-,40,40,-,-,-
24,"25201","0180","ëÂí√és","ê^ñÏ",1256,819,26,410,54,33,323,1,4082,2875,67,1138,112,47,979,2,3.25,3.5103785104,2.5769230769,2.7756097561,2.0740740741,1.4242424242,3.0309597523,2,5.3200636943,6.1587301587,3.3846153846,3.7756097561,2.6666666667,2.1212121212,4.1300309598,2,100.8343949045,120.2515262515,43.9230769231,65.8365853659,39.0555555556,26.8484848485,74.3003095975,26,6682,5044,88,1548,144,70,1334,2,126648,98486,1142,26993,2109,886,23999,26
25,"25201","018001","ëÂí√és","ê^ñÏÇPíöñ⁄",303,225,4,74,6,7,61,-,1016,800,12,204,8,8,188,-,3.3531353135,3.5555555556,3,2.7567567568,1.3333333333,1.1428571429,3.0819672131,-,5.5775577558,6.24,4,3.6486486486,2.1666666667,1.5714285714,4.0327868852,-,111.8778877888,127.2977777778,48.25,68.4324324324,64.8333333333,23.2857142857,73.9672131148,-,1690,1404,16,270,13,11,246,-,33899,28642,193,5064,389,163,4512,-
26,"25201","018002","ëÂí√és","ê^ñÏÇQíöñ⁄",347,202,9,136,15,7,114,-,1142,703,23,416,29,9,378,-,3.2910662824,3.4801980198,2.5555555556,3.0588235294,1.9333333333,1.2857142857,3.3157894737,-,5.0345821326,5.7326732673,3.1111111111,4.125,2.7333333333,2,4.4385964912,-,90.0489913545,102.8861386139,37.5555555556,74.4558823529,36.7333333333,22.8571428571,82.5877192982,-,1747,1158,28,561,41,14,506,-,31247,20783,338,10126,551,160,9415,-
