3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","àÍî ê¢ë—êî","","","","","","","","","àÍî ê¢ë—êlàı","","","","","","","","","1ê¢ë—ìñÇΩÇËêlàı","","","","","","","","","1ê¢ë—ìñÇΩÇËé∫êî","","","","","","","","","1ê¢ë—ìñÇΩÇËâÑÇ◊ñ êœ(áu)","","","","","","","","","ëçé∫êî","","","","","","","","","ëçâÑÇ◊ñ êœ(áu)","","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","ésãÊí¨ë∫","í¨íöéö","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—","ëçêî","èZëÓÇ…èZÇﬁàÍî ê¢ë—","éÂê¢ë—","éùÇøâ∆","åˆâc•åˆíc•åˆé–ÇÃéÿâ∆","ñØâcÇÃéÿâ∆","ããó^èZëÓ","ä‘éÿÇË","èZëÓà»äOÇ…èZÇﬁàÍî ê¢ë—"
14,"25201","0080","ëÂí√és","äãêÏÅ@ç◊êÏí¨",19,19,19,19,-,-,-,-,-,59,59,59,59,-,-,-,-,-,3.1052631579,3.1052631579,3.1052631579,3.1052631579,-,-,-,-,-,-,6.6315789474,6.6315789474,6.6315789474,-,-,-,-,-,-,125.5263157895,125.5263157895,125.5263157895,-,-,-,-,-,-,126,126,126,-,-,-,-,-,-,2385,2385,2385,-,-,-,-,-
15,"25201","0090","ëÂí√és","à…çÅóßÅ@ìÏèØí¨",146,146,146,144,-,-,2,-,-,648,648,648,635,-,-,13,-,-,4.4383561644,4.4383561644,4.4383561644,4.4097222222,-,-,6.5,-,-,-,8.3561643836,8.3561643836,8.3888888889,-,-,6,-,-,-,175.3424657534,175.3424657534,176.2222222222,-,-,112,-,-,-,1220,1220,1208,-,-,12,-,-,-,25600,25600,25376,-,-,224,-,-
16,"25201","0100","ëÂí√és","à…çÅóßÅ@å¸ç›íní¨",64,63,57,53,-,2,2,6,1,267,261,247,240,-,5,2,14,6,4.171875,4.1428571429,4.3333333333,4.5283018868,-,2.5,1,2.3333333333,6,-,7.380952381,8.0175438596,8.3396226415,-,5,2.5,1.3333333333,-,-,134.0634920635,146.0526315789,152.641509434,-,72.5,45,20,-,-,465,457,442,-,10,5,8,-,-,8446,8325,8090,-,145,90,120,-
17,"25201","0110","ëÂí√és","à…çÅóßÅ@ê∂í√í¨",71,71,71,69,-,1,1,-,-,314,314,314,307,-,2,5,-,-,4.4225352113,4.4225352113,4.4225352113,4.4492753623,-,2,5,-,-,-,8.7183098592,8.7183098592,8.8260869565,-,4,6,-,-,-,157.6197183099,157.6197183099,160.231884058,-,66,69,-,-,-,619,619,609,-,4,6,-,-,-,11191,11191,11056,-,66,69,-,-
18,"25201","0120","ëÂí√és","à…çÅóßÅ@è„ç›íní¨",21,21,21,20,-,1,-,-,-,67,67,67,63,-,4,-,-,-,3.1904761905,3.1904761905,3.1904761905,3.15,-,4,-,-,-,-,7.9523809524,7.9523809524,8.15,-,4,-,-,-,-,116.9523809524,116.9523809524,119,-,76,-,-,-,-,167,167,163,-,4,-,-,-,-,2456,2456,2380,-,76,-,-,-
19,"25201","0130","ëÂí√és","à…çÅóßÅ@ñkç›íní¨",45,45,44,42,-,1,1,1,-,166,166,164,153,-,10,1,2,-,3.6888888889,3.6888888889,3.7272727273,3.6428571429,-,10,1,2,-,-,8.1111111111,8.25,8.5714285714,-,1,2,2,-,-,143.6222222222,146.4318181818,151.9761904762,-,40,20,20,-,-,365,363,360,-,1,2,2,-,-,6463,6443,6383,-,40,20,20,-
20,"25201","0140","ëÂí√és","à…çÅóßÅ@â∫ç›íní¨",89,89,88,79,4,3,2,1,-,363,363,359,335,7,11,6,4,-,4.0786516854,4.0786516854,4.0795454545,4.2405063291,1.75,3.6666666667,3,4,-,-,7.7752808989,7.8295454545,8.3164556962,3,4.6666666667,3,3,-,-,159.0561797753,159.6136363636,170.8607594937,40.75,80.3333333333,72,110,-,-,692,689,657,12,14,6,3,-,-,14156,14046,13498,163,241,144,110,-
21,"25201","0150","ëÂí√és","à…çÅóßÅ@â∫ó≥âÿí¨",207,202,201,188,12,-,1,1,5,689,679,678,640,37,-,1,1,10,3.3285024155,3.3613861386,3.3731343284,3.4042553191,3.0833333333,-,1,1,2,-,6.6633663366,6.6865671642,6.920212766,3.4166666667,-,2,2,-,-,117.2475247525,117.631840796,122.6010638298,46.8333333333,-,33,40,-,-,1346,1344,1301,41,-,2,2,-,-,23684,23644,23049,562,-,33,40,-
22,"25201","0160","ëÂí√és","à…çÅóßÅ@è„ó≥âÿí¨",40,40,39,39,-,-,-,1,-,175,175,174,174,-,-,-,1,-,4.375,4.375,4.4615384615,4.4615384615,-,-,-,1,-,-,8.475,8.641025641,8.641025641,-,-,-,2,-,-,159.6,162.8461538462,162.8461538462,-,-,-,33,-,-,339,337,337,-,-,-,2,-,-,6384,6351,6351,-,-,-,33,-
23,"25201","0170","ëÂí√és","à…çÅóßÅ@ìríÜí¨",75,75,75,65,-,3,7,-,-,255,255,255,233,-,13,9,-,-,3.4,3.4,3.4,3.5846153846,-,4.3333333333,1.2857142857,-,-,-,7.0133333333,7.0133333333,7.6923076923,-,4.6666666667,1.7142857143,-,-,-,151.2266666667,151.2266666667,166.4,-,95.3333333333,34.2857142857,-,-,-,526,526,500,-,14,12,-,-,-,11342,11342,10816,-,286,240,-,-
