,model_number,classes_number,CancerF,CardioF,CerebroF,PneumoniaF,AccidentF,TrafficF,SuicideF,KidneyF,CPROB1,CPROB2,CPROB3,CPROB4,Class
1,　北海道,4,2.332957662,0.797775771,-0.414958191,-0.398125678,-0.287967933,-0.527922663,0.706811685,2.22287121,0.99892216,3.37E-05,3.76E-05,0.001006499,1
2,　青　森,4,1.935918398,0.070350597,0.999384039,-0.190215602,0.034281897,-0.134075597,-0.005048655,0.751393085,0.89424775,0.089815276,0.015357973,0.000579,1
5,　秋　田,4,0.281588131,-0.194167648,0.999384039,0.433514627,-0.287967933,-1.315616796,0.944098464,1.487132147,0.97013914,0.029740725,0.000114365,5.77E-06,1
9,　栃　木,4,-0.446317187,0.599387087,1.371579363,1.161199893,-1.415842339,-0.527922663,-0.242335435,-1.455824102,0.987585212,0.01226935,0.000145079,3.59E-07,1
11,　埼　玉,4,-0.181624344,1.525200945,0.106115263,0.953289817,-1.254717424,-1.315616796,0.232238125,0.383523554,0.999985333,1.25E-05,8.27E-07,1.29E-06,1
12,　千　葉,4,-0.181624344,1.128423577,-0.266080061,0.745379741,-0.610217764,-0.134075597,-0.242335435,-0.72008504,0.996512499,0.000164471,0.002364527,0.000958502,1
13,　東　京,4,0.744800605,-0.260297209,-0.414958191,-0.398125678,-1.576967254,-2.103310928,0.944098464,-0.72008504,0.999883499,0.000116492,1.90E-09,6.96E-09,1
14,　神奈川,4,0.612454184,-0.789333699,-0.042762867,-0.086260563,-0.610217764,-1.709463862,0.232238125,-1.455824102,0.989850183,0.010145812,3.75E-06,2.53E-07,1
19,　山　梨,4,-2.034474244,0.533257526,-0.414958191,-1.125810944,-0.932467594,-0.921769729,1.418672024,0.751393085,0.987798642,0.010706953,2.00E-05,0.001474437,1
22,　静　岡,4,-0.644836819,-0.921592822,0.478310586,-1.125810944,-0.771342679,-0.921769729,-0.954195774,-0.72008504,0.577224994,0.422366466,0.000378322,3.02E-05,1
23,　愛　知,4,-0.049277923,-0.32642677,-0.489397255,-0.709990792,-0.449092848,-0.134075597,-1.191482554,-1.087954571,0.971834041,0.010123854,0.013273707,0.004768398,1
26,　京　都,4,1.538879134,0.863905332,-0.936031644,-0.502080716,-1.899217084,-0.527922663,-0.479622215,1.119262616,0.999987533,2.57E-07,1.20E-07,1.21E-05,1
27,　大　阪,4,1.605052344,0.797775771,-1.754861356,1.992840198,-0.932467594,-1.315616796,1.418672024,1.119262616,0.999998995,1.11E-09,6.54E-08,9.38E-07,1
28,　兵　庫,4,0.21541492,-0.32642677,-1.308226968,-0.086260563,0.195406812,-0.527922663,0.469524905,0.383523554,0.979974151,0.000256096,0.003998263,0.01577149,1
29,　奈　良,4,0.678627395,2.84779217,-1.531544162,0.953289817,-1.576967254,-1.709463862,-1.428769334,-1.823693633,0.999999526,3.58E-09,6.99E-09,4.64E-07,1
30,　和歌山,4,0.480107763,0.996164455,-1.308226968,-0.190215602,-0.449092848,-0.134075597,-0.005048655,0.015654023,0.983537499,1.46E-05,0.000519212,0.01592866,1
32,　島　根,4,-0.247797555,0.467127965,0.031676198,-1.125810944,-0.771342679,-0.134075597,-0.005048655,-1.823693633,0.878903657,0.119222081,0.000899091,0.00097517,1
35,　山　口,4,0.21541492,0.467127965,-0.042762867,1.680975084,-1.093592509,0.653618535,0.944098464,1.487132147,0.995730169,6.53E-06,0.003661982,0.000601317,1
36,　徳　島,4,-0.578663608,-0.723204138,-0.71271445,0.433514627,-0.287967933,-0.134075597,-0.242335435,0.751393085,0.962434391,0.000401875,0.029714982,0.007448753,1
40,　福　岡,4,1.671225555,-2.111924924,-0.787153514,0.849334779,-0.126843018,-0.134075597,-0.479622215,0.383523554,0.978966271,0.000129564,0.020716247,0.000187918,1
42,　長　崎,4,1.538879134,0.268739281,-1.010470709,0.745379741,-0.126843018,-0.134075597,-0.479622215,0.015654023,0.994283893,8.63E-06,0.003633892,0.002073588,1
43,　熊　本,4,-0.049277923,-0.590945015,-0.340519126,0.121649513,-0.771342679,-0.527922663,0.232238125,0.383523554,0.998887205,0.000700472,0.000303578,0.000108744,1
45,　宮　崎,4,0.016895288,0.599387087,0.552749651,0.745379741,-0.287967933,0.259771469,-0.479622215,0.015654023,0.855148306,0.005658871,0.135577507,0.003615315,1
47,　沖　縄,4,0.21541492,-0.657074577,-0.936031644,0.121649513,-1.576967254,-0.134075597,2.130532364,0.015654023,0.999952862,3.23E-05,2.81E-06,1.20E-05,1
3,　岩　手,4,-0.115451134,0.467127965,2.190409075,-0.086260563,0.678781557,-0.527922663,2.842392703,0.383523554,0.001335951,0.998552625,0.000110312,1.11E-06,2
4,　宮　城,4,-0.313970766,-1.516758873,1.669335622,-1.437676058,0.195406812,-0.527922663,-0.954195774,0.015654023,0.000729016,0.998751389,0.000518364,1.23E-06,2
6,　山　形,4,-0.843356451,-0.524815454,1.148262169,-0.29417064,0.195406812,-0.134075597,1.418672024,-0.352215509,0.020522928,0.973696882,0.005709143,7.10E-05,2
7,　福　島,4,-0.909529662,1.128423577,1.297140298,-0.709990792,0.678781557,-0.134075597,-0.479622215,-1.087954571,0.009150438,0.940401456,0.048721538,0.001726568,2
15,　新　潟,4,-0.380143976,-1.450629312,1.743774687,-1.541631096,1.001031387,0.653618535,0.706811685,-1.823693633,2.45E-06,0.998426522,0.001570064,9.67E-07,2
20,　長　野,4,-1.70360819,-1.781277118,2.115970011,-1.853496211,-0.287967933,-1.315616796,-0.005048655,-1.823693633,7.10E-06,0.999992828,6.69E-08,7.06E-11,2
31,　鳥　取,4,1.737398766,-0.657074577,0.70162778,-2.685136515,0.195406812,-0.527922663,1.181385244,-0.352215509,0.007407989,0.992566406,9.82E-06,1.58E-05,2
8,　茨　城,4,-0.512490398,-0.590945015,0.999384039,0.537469665,-0.126843018,2.2290068,0.944098464,0.015654023,0.00077344,0.002047257,0.995176861,0.002002443,3
10,　群　馬,4,-0.446317187,-0.723204138,0.403871521,1.369109969,0.517656642,0.653618535,0.469524905,0.015654023,0.01969564,0.00200189,0.977022928,0.001279542,3
16,　富　山,4,0.016895288,-1.318370189,0.552749651,0.641424703,1.162156302,-0.134075597,0.706811685,0.015654023,0.034548391,0.158539764,0.805962669,0.000949176,3
17,　石　川,4,-0.247797555,0.070350597,-0.266080061,0.225604551,2.934530368,2.2290068,-0.479622215,0.383523554,1.79E-09,3.97E-08,0.989313883,0.010686076,3
18,　福　井,4,0.149241709,0.400998403,-0.340519126,0.121649513,1.484406133,1.047465602,-2.140629673,-0.352215509,5.50E-05,5.85E-06,0.972314731,0.027624445,3
21,　岐　阜,4,-1.041876083,0.004221036,0.106115263,-0.917900868,1.001031387,1.047465602,-0.716908994,-0.352215509,0.000372342,0.005359914,0.898324185,0.09594356,3
24,　三　重,4,-1.902127822,-0.921592822,-0.266080061,-0.81394583,0.678781557,1.441312668,-1.428769334,-1.087954571,4.99E-05,0.000627191,0.976453036,0.022869921,3
33,　岡　山,4,-0.71101003,-0.524815454,-0.340519126,0.329559589,1.001031387,0.259771469,-0.954195774,0.015654023,0.007236918,0.000711247,0.969753597,0.022298237,3
39,　高　知,4,-1.240395715,0.599387087,0.329432457,1.057244855,1.484406133,1.441312668,-0.242335435,1.119262616,7.26E-06,2.78E-06,0.988406169,0.011583795,3
41,　佐　賀,4,1.406532712,-0.789333699,-0.787153514,1.784930122,0.356531727,1.047465602,-1.191482554,-1.087954571,0.028756338,2.57E-06,0.969746286,0.001494809,3
44,　大　分,4,-1.174222505,-0.260297209,-0.042762867,0.329559589,1.001031387,0.259771469,-0.954195774,0.751393085,0.004008755,0.000704985,0.96632458,0.02896168,3
46,　鹿児島,4,0.281588131,-0.458685893,1.297140298,1.369109969,1.001031387,1.441312668,-1.428769334,1.119262616,1.65E-05,1.36E-05,0.999870201,9.98E-05,3
25, 滋　賀,4,-0.975702872,0.136480158,-0.936031644,-0.917900868,-0.287967933,1.047465602,0.469524905,1.487132147,0.047145389,0.000125248,0.03401241,0.918716953,4
34,　広　島,4,-0.049277923,0.467127965,-1.084909773,-0.086260563,0.678781557,1.047465602,-0.716908994,0.751393085,0.004993646,5.10E-06,0.31088413,0.684117119,4
37,　香　川,4,-0.313970766,0.599387087,-1.531544162,-1.021855906,1.645531048,1.047465602,-0.005048655,1.119262616,2.18E-05,4.90E-07,0.027361699,0.972615971,4
38,　愛　媛,4,-0.380143976,2.583273925,-0.787153514,-0.398125678,0.678781557,0.653618535,-0.479622215,-0.352215509,0.007872285,1.68E-05,0.031223856,0.960887098,4
