1,"ïΩê¨17îNçëê®í≤ç∏Å@è¨ínàÊèWåvÅ@Åiëçñ±è»ìùåvã«Åj"
2,"ëÊ6ï\Å@ê¢ë—ÇÃâ∆ë∞óﬁå^Åi6ãÊï™Åjï àÍî ê¢ë—êîÅCàÍî ê¢ë—êlàıÅCêeë∞êlàıãyÇ—1ê¢ë—ìñÇΩÇËêeë∞êlàıÅi6çŒñ¢ñûÅE18çŒñ¢ñûÅE65çŒà»è„êeë∞ÇÃÇ¢ÇÈàÍî ê¢ë—êîãyÇ—3ê¢ë„ê¢ë—Å|ì¡åfÅj"
3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
70,"25201","054202","","","","ëÂí√és","ã¬ñÿÇQíöñ⁄",279,1041,1041,3.7311827957,25,89,173,42,258,1020,1020,3.9534883721,25,89,157,26,152,456,456,3,11,34,60,26,53,106,106,2,-,-,35,26,85,317,317,3.7294117647,11,32,17,-,106,564,564,5.320754717,14,55,97,-,-,-,-,-,-,-,-,-,21,21,21,1,-,-,16,16,95,527,527,5.5473684211,14,55,87,-
71,"25201","054203","","","","ëÂí√és","ã¬ñÿÇRíöñ⁄",51,199,199,3.9019607843,12,21,32,6,48,196,196,4.0833333333,12,21,30,4,31,92,92,2.9677419355,4,9,15,4,8,16,16,2,-,-,5,4,19,67,67,3.5263157895,4,8,8,-,17,104,104,6.1176470588,8,12,15,-,-,-,-,-,-,-,-,-,3,3,3,1,-,-,2,2,16,100,100,6.25,8,12,14,-
72,"25201","054204","","","","ëÂí√és","ã¬ñÿÇSíöñ⁄",116,403,403,3.474137931,14,39,76,15,103,390,390,3.786407767,14,39,68,7,53,145,145,2.7358490566,8,14,20,7,19,38,38,2,-,-,13,7,25,84,84,3.36,7,11,5,-,50,245,245,4.9,6,25,48,-,-,-,-,-,-,-,-,-,13,13,13,1,-,-,8,8,43,223,223,5.1860465116,6,25,42,-
73,"25201","054205","","","","ëÂí√és","ã¬ñÿÇTíöñ⁄",94,355,355,3.7765957447,7,26,64,15,82,343,343,4.1829268293,7,26,54,5,43,130,130,3.023255814,3,7,17,5,10,20,20,2,-,-,8,5,26,92,92,3.5384615385,3,7,6,-,39,213,213,5.4615384615,4,19,37,-,-,-,-,-,-,-,-,-,12,12,12,1,-,-,10,10,36,204,204,5.6666666667,4,19,34,-
74,"25201","054206","","","","ëÂí√és","ã¬ñÿÇUíöñ⁄",122,396,396,3.2459016393,13,29,72,18,107,381,381,3.5607476636,13,29,63,9,71,210,210,2.9577464789,7,13,30,9,24,48,48,2,-,-,17,9,39,143,143,3.6666666667,7,13,9,-,36,171,171,4.75,6,16,33,-,-,-,-,-,-,-,-,-,15,15,15,1,-,-,9,9,31,155,155,5,5,15,28,-
75,"25201","054207","","","","ëÂí√és","ã¬ñÿÇVíöñ⁄",20,83,83,4.15,-,6,18,3,18,81,81,4.5,-,6,16,1,4,11,11,2.75,-,-,3,1,1,2,2,2,-,-,1,1,3,9,9,3,-,-,2,-,14,70,70,5,-,6,13,-,-,-,-,-,-,-,-,-,2,2,2,1,-,-,2,2,11,59,59,5.3636363636,-,6,11,-
76,"25201","0551","","","","ëÂí√és","óYã’ñk",676,1937,1934,2.8609467456,181,320,91,30,549,1808,1807,3.29143898,181,320,80,19,513,1641,1640,3.1968810916,176,300,52,19,139,278,278,2,-,-,31,18,344,1289,1288,3.7441860465,172,287,14,-,36,167,167,4.6388888889,5,20,28,-,2,4,2,1,-,-,-,-,125,125,125,1,-,-,11,11,30,147,147,4.9,5,20,25,-
77,"25201","055101","","","","ëÂí√és","óYã’ñkÇPíöñ⁄",234,606,606,2.5897435897,64,92,28,9,177,549,549,3.1016949153,64,92,25,6,164,492,492,3,61,84,17,6,58,116,116,2,-,-,12,6,99,360,360,3.6363636364,59,81,3,-,13,57,57,4.3846153846,3,8,8,-,-,-,-,-,-,-,-,-,57,57,57,1,-,-,3,3,9,44,44,4.8888888889,3,8,6,-
78,"25201","055102","","","","ëÂí√és","óYã’ñkÇQíöñ⁄",442,1331,1328,3.0045248869,117,228,63,21,372,1259,1258,3.3817204301,117,228,55,13,349,1149,1148,3.2893982808,115,216,35,13,81,162,162,2,-,-,19,12,245,929,928,3.787755102,113,206,11,-,23,110,110,4.7826086957,2,12,20,-,2,4,2,1,-,-,-,-,68,68,68,1,-,-,8,8,21,103,103,4.9047619048,2,12,19,-
79,"25201","0552","","","","ëÂí√és","óYã’",1076,2714,2692,2.5018587361,137,280,335,171,754,2375,2370,3.1432360743,137,279,278,116,645,1874,1870,2.8992248062,121,227,188,112,248,497,496,2,-,-,134,110,324,1200,1198,3.6975308642,119,210,34,-,109,501,500,4.5871559633,16,52,90,4,17,34,17,1,-,-,2,-,305,305,305,1,-,1,55,55,82,419,419,5.1097560976,15,50,72,-
80,"25201","055201","","","","ëÂí√és","óYã’ÇPíöñ⁄",159,393,390,2.4528301887,22,45,42,19,100,332,331,3.31,22,45,28,5,88,276,276,3.1363636364,18,38,19,5,21,42,42,2,-,-,7,5,56,206,206,3.6785714286,18,33,10,-,12,56,55,4.5833333333,4,7,9,-,2,4,2,1,-,-,-,-,57,57,57,1,-,-,14,14,9,45,45,5,3,6,7,-
81,"25201","055202","","","","ëÂí√és","óYã’ÇQíöñ⁄",139,433,433,3.1151079137,13,36,73,20,121,415,415,3.4297520661,13,36,67,14,85,234,234,2.7529411765,11,19,32,14,36,72,72,2,-,-,20,13,39,137,137,3.5128205128,10,18,8,-,36,181,181,5.0277777778,2,17,35,-,-,-,-,-,-,-,-,-,18,18,18,1,-,-,6,6,30,162,162,5.4,2,17,30,-
82,"25201","055203","çáéZínàÊÇ†ÇË","","055204","ëÂí√és","óYã’ÇRíöñ⁄",248,656,650,2.6209677419,48,78,65,31,188,591,590,3.1382978723,48,78,49,16,165,481,480,2.9090909091,45,69,30,14,60,121,120,2,-,-,22,14,83,307,307,3.6987951807,45,63,3,-,23,110,110,4.7826086957,3,9,19,2,5,10,5,1,-,-,1,-,55,55,55,1,-,-,15,15,18,97,97,5.3888888889,3,9,16,-
