4,"","","","","","","","ëçêî","","","","","","","","","","","","","","","","","","","","íj","","","","","","","","","","","","","","","","","","","","èó","","","","","","","","","","","","","","","","","","",""
5,"ésãÊí¨ë∫ÉRÅ[Éh","í¨íöéöÉRÅ[Éh","îÈìΩèàóù","îÈìΩêÊèÓïÒ","çáéZínàÊ","ésãÊí¨ë∫","í¨íöéö","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆","ëçêî","A î_ã∆","B ó—ã∆","C ãôã∆","D çzã∆","E åöê›ã∆","F êªë¢ã∆","G ìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆","H èÓïÒí êMã∆","I â^óAã∆","J âµîÑÅEè¨îÑã∆","K ã‡óZÅEï€åØã∆","L ïsìÆéYã∆","M à˘êHìXÅCèhîëã∆","N à„ó√ÅCïüéÉ","O ã≥àÁÅCäwèKéxâáã∆","P ï°çáÉTÅ[ÉrÉXéñã∆","Q ÉTÅ[ÉrÉXã∆","R åˆñ±(ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ)","S ï™óﬁïsî\ÇÃéYã∆"
416,"25201","286001","","","","ëÂí√és","çïí√ÇPíöñ⁄",161,10,-,-,-,22,29,-,1,9,28,3,1,8,17,3,2,20,6,2,94,5,-,-,-,15,21,-,1,8,10,2,1,3,2,1,1,17,5,2,67,5,-,-,-,7,8,-,-,1,18,1,-,5,15,2,1,3,1,-
417,"25201","286002","","","","ëÂí√és","çïí√ÇQíöñ⁄",356,-,-,-,-,40,62,2,4,20,73,11,4,25,33,16,4,50,6,6,206,-,-,-,-,32,42,2,3,17,33,4,2,12,8,8,2,30,6,5,150,-,-,-,-,8,20,-,1,3,40,7,2,13,25,8,2,20,-,1
418,"25201","286003","çáéZínàÊÇ†ÇË","","286005","ëÂí√és","çïí√ÇRíöñ⁄",201,8,-,-,-,22,47,-,3,9,31,7,6,3,14,8,2,29,8,4,114,5,-,-,-,15,34,-,1,9,13,2,5,1,-,2,2,16,6,3,87,3,-,-,-,7,13,-,2,-,18,5,1,2,14,6,-,13,2,1
419,"25201","286004","","","","ëÂí√és","çïí√ÇSíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
420,"25201","286005","îÈìΩínàÊ","286003","","ëÂí√és","çïí√ÇTíöñ⁄",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
421,"25201","2870","","","","ëÂí√és","ëæéq",72,5,-,-,-,10,18,-,1,4,11,-,2,1,5,2,2,9,2,-,42,3,-,-,-,7,12,-,1,4,5,-,-,-,1,-,2,5,2,-,30,2,-,-,-,3,6,-,-,-,6,-,2,1,4,2,-,4,-,-
422,"25201","287001","","","","ëÂí√és","ëæéqÇPíöñ⁄",42,5,-,-,-,6,12,-,-,3,7,-,-,-,2,1,2,3,1,-,27,3,-,-,-,4,8,-,-,3,3,-,-,-,1,-,2,2,1,-,15,2,-,-,-,2,4,-,-,-,4,-,-,-,1,1,-,1,-,-
423,"25201","287002","","","","ëÂí√és","ëæéqÇQíöñ⁄",30,-,-,-,-,4,6,-,1,1,4,-,2,1,3,1,-,6,1,-,15,-,-,-,-,3,4,-,1,1,2,-,-,-,-,-,-,3,1,-,15,-,-,-,-,1,2,-,-,-,2,-,2,1,3,1,-,3,-,-
424,"25201","2880","","","","ëÂí√és","ä÷í√",1015,18,-,-,-,96,226,11,18,53,183,18,6,38,90,28,15,144,41,30,568,14,-,-,-,78,155,11,15,49,67,5,4,13,21,10,9,64,35,18,447,4,-,-,-,18,71,-,3,4,116,13,2,25,69,18,6,80,6,12
425,"25201","288000","","","","ëÂí√és","ä÷í√",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
426,"25201","288001","","","","ëÂí√és","ä÷í√ÇPíöñ⁄",107,6,-,-,-,11,23,4,3,6,18,1,-,1,9,5,-,13,5,2,58,4,-,-,-,9,11,4,2,6,6,1,-,-,1,1,-,6,5,2,49,2,-,-,-,2,12,-,1,-,12,-,-,1,8,4,-,7,-,-
427,"25201","288002","","","","ëÂí√és","ä÷í√ÇQíöñ⁄",39,1,-,-,-,4,10,-,1,2,9,-,-,1,3,2,3,3,-,-,24,1,-,-,-,3,7,-,1,2,3,-,-,-,2,1,2,2,-,-,15,-,-,-,-,1,3,-,-,-,6,-,-,1,1,1,1,1,-,-
428,"25201","288003","","","","ëÂí√és","ä÷í√ÇRíöñ⁄",270,9,-,-,-,23,46,5,7,15,51,4,3,14,19,11,4,36,14,9,155,7,-,-,-,18,31,5,6,14,25,-,1,6,4,4,4,13,11,6,115,2,-,-,-,5,15,-,1,1,26,4,2,8,15,7,-,23,3,3
429,"25201","288004","","","","ëÂí√és","ä÷í√ÇSíöñ⁄",22,-,-,-,-,6,5,-,-,2,3,-,-,3,1,-,-,2,-,-,11,-,-,-,-,4,3,-,-,1,1,-,-,-,-,-,-,2,-,-,11,-,-,-,-,2,2,-,-,1,2,-,-,3,1,-,-,-,-,-
430,"25201","288005","","","","ëÂí√és","ä÷í√ÇTíöñ⁄",27,-,-,-,-,-,6,-,2,4,3,-,-,2,1,-,-,6,3,-,15,-,-,-,-,-,3,-,2,3,1,-,-,1,-,-,-,3,2,-,12,-,-,-,-,-,3,-,-,1,2,-,-,1,1,-,-,3,1,-
431,"25201","288006","","","","ëÂí√és","ä÷í√ÇUíöñ⁄",550,2,-,-,-,52,136,2,5,24,99,13,3,17,57,10,8,84,19,19,305,2,-,-,-,44,100,2,4,23,31,4,3,6,14,4,3,38,17,10,245,-,-,-,-,8,36,-,1,1,68,9,-,11,43,6,5,46,2,9
432,"25201","2890","","","","ëÂí√és","ê¬éR",2288,6,-,-,-,76,679,27,49,50,272,88,25,41,271,253,7,287,113,44,1529,4,-,-,-,67,573,26,38,34,146,50,18,17,120,133,3,177,94,29,759,2,-,-,-,9,106,1,11,16,126,38,7,24,151,120,4,110,19,15
433,"25201","289001","","","","ëÂí√és","ê¬éRÇPíöñ⁄",337,1,-,-,-,14,89,3,7,10,52,11,2,7,31,37,2,48,12,11,211,1,-,-,-,13,71,3,7,7,27,7,2,2,9,17,1,27,10,7,126,-,-,-,-,1,18,-,-,3,25,4,-,5,22,20,1,21,2,4
434,"25201","289002","","","","ëÂí√és","ê¬éRÇQíöñ⁄",175,-,-,-,-,8,41,2,2,2,28,8,4,4,17,27,2,20,6,4,110,-,-,-,-,8,33,2,2,1,13,4,2,2,9,13,2,13,4,2,65,-,-,-,-,-,8,-,-,1,15,4,2,2,8,14,-,7,2,2
435,"25201","289003","","","","ëÂí√és","ê¬éRÇRíöñ⁄",243,1,-,-,-,5,75,2,8,4,21,9,-,8,35,35,-,22,14,4,152,1,-,-,-,4,66,1,7,4,7,4,-,3,15,13,-,12,13,2,91,-,-,-,-,1,9,1,1,-,14,5,-,5,20,22,-,10,1,2
436,"25201","289004","","","","ëÂí√és","ê¬éRÇSíöñ⁄",380,1,-,-,-,10,106,2,15,10,49,23,12,8,46,35,1,44,13,5,242,-,-,-,-,9,89,2,10,5,26,12,9,3,15,18,-,28,12,4,138,1,-,-,-,1,17,-,5,5,23,11,3,5,31,17,1,16,1,1
437,"25201","289005","","","","ëÂí√és","ê¬éRÇTíöñ⁄",183,-,-,-,-,2,42,1,3,5,34,7,1,5,25,21,-,25,5,7,115,-,-,-,-,1,32,1,2,3,23,4,1,2,12,12,-,16,2,4,68,-,-,-,-,1,10,-,1,2,11,3,-,3,13,9,-,9,3,3
438,"25201","289006","","","","ëÂí√és","ê¬éRÇUíöñ⁄",304,3,-,-,-,10,95,4,2,6,32,9,3,2,39,29,-,44,20,6,215,2,-,-,-,9,80,4,2,2,12,7,2,1,24,19,-,30,17,4,89,1,-,-,-,1,15,-,-,4,20,2,1,1,15,10,-,14,3,2
439,"25201","289007","","","","ëÂí√és","ê¬éRÇVíöñ⁄",314,-,-,-,-,14,111,4,3,6,24,16,-,4,43,29,2,33,18,7,221,-,-,-,-,13,97,4,2,6,14,10,-,3,17,15,-,19,15,6,93,-,-,-,-,1,14,-,1,-,10,6,-,1,26,14,2,14,3,1
440,"25201","289008","","","","ëÂí√és","ê¬éRÇWíöñ⁄",352,-,-,-,-,13,120,9,9,7,32,5,3,3,35,40,-,51,25,-,263,-,-,-,-,10,105,9,6,6,24,2,2,1,19,26,-,32,21,-,89,-,-,-,-,3,15,-,3,1,8,3,1,2,16,14,-,19,4,-
441,"25201","2901","","","","ëÂí√és","èºÉñãu",51,-,-,-,-,1,20,1,-,3,5,3,-,-,7,4,-,7,-,-,37,-,-,-,-,1,16,1,-,3,3,2,-,-,3,2,-,6,-,-,14,-,-,-,-,-,4,-,-,-,2,1,-,-,4,2,-,1,-,-
442,"25201","290101","","","","ëÂí√és","èºÉñãuÇPíöñ⁄",14,-,-,-,-,-,7,-,-,-,-,1,-,-,-,3,-,3,-,-,11,-,-,-,-,-,6,-,-,-,-,1,-,-,-,1,-,3,-,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-
443,"25201","290102","","","","ëÂí√és","èºÉñãuÇQíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
444,"25201","290103","","","","ëÂí√és","èºÉñãuÇRíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
445,"25201","290104","","","","ëÂí√és","èºÉñãuÇSíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
446,"25201","290105","","","","ëÂí√és","èºÉñãuÇTíöñ⁄",37,-,-,-,-,1,13,1,-,3,5,2,-,-,7,1,-,4,-,-,26,-,-,-,-,1,10,1,-,3,3,1,-,-,3,1,-,3,-,-,11,-,-,-,-,-,3,-,-,-,2,1,-,-,4,-,-,1,-,-
447,"25201","290106","","","","ëÂí√és","èºÉñãuÇUíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
448,"25201","290107","","","","ëÂí√és","èºÉñãuÇVíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
449,"25201","2902","","","","ëÂí√és","èºÉñãu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
450,"25201","2910","","","","ëÂí√és","è„ìcè„ëÂíπãèí¨",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
451,"25201","2921","","","","ëÂí√és","ãÀê∂",516,30,-,-,-,43,167,2,9,24,70,9,6,22,34,17,6,58,10,9,306,22,-,-,-,35,106,1,3,21,35,5,3,9,5,10,5,33,8,5,210,8,-,-,-,8,61,1,6,3,35,4,3,13,29,7,1,25,2,4
452,"25201","292101","","","","ëÂí√és","ãÀê∂ÇPíöñ⁄",284,17,-,-,-,19,93,2,4,13,40,5,2,10,22,11,4,30,7,5,164,13,-,-,-,14,56,1,1,11,21,4,1,4,3,8,3,16,6,2,120,4,-,-,-,5,37,1,3,2,19,1,1,6,19,3,1,14,1,3
453,"25201","292102","","","","ëÂí√és","ãÀê∂ÇQíöñ⁄",188,8,-,-,-,18,63,-,4,6,23,3,3,12,11,4,-,26,3,4,112,6,-,-,-,15,42,-,2,6,11,-,1,5,2,1,-,16,2,3,76,2,-,-,-,3,21,-,2,-,12,3,2,7,9,3,-,10,1,1
454,"25201","292103","çáéZínàÊÇ†ÇË","","2922","ëÂí√és","ãÀê∂ÇRíöñ⁄",44,5,-,-,-,6,11,-,1,5,7,1,1,-,1,2,2,2,-,-,30,3,-,-,-,6,8,-,-,4,3,1,1,-,-,1,2,1,-,-,14,2,-,-,-,-,3,-,1,1,4,-,-,-,1,1,-,1,-,-
455,"25201","2922","îÈìΩínàÊ","292103","","ëÂí√és","è„ìcè„ãÀê∂í¨",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
456,"25201","2931","","","","ëÂí√és","ñq",219,27,-,-,1,8,58,-,1,9,35,12,3,4,16,9,4,25,6,1,128,15,-,-,1,4,35,-,1,8,20,8,2,1,7,6,3,14,3,-,91,12,-,-,-,4,23,-,-,1,15,4,1,3,9,3,1,11,3,1
457,"25201","293101","","","","ëÂí√és","ñqÇPíöñ⁄",198,25,-,-,1,8,54,-,1,8,31,12,3,4,14,4,4,22,6,1,116,14,-,-,1,4,33,-,1,7,18,8,2,1,7,2,3,12,3,-,82,11,-,-,-,4,21,-,-,1,13,4,1,3,7,2,1,10,3,1
458,"25201","293102","çáéZínàÊÇ†ÇË","","293103;2932","ëÂí√és","ñqÇQíöñ⁄",21,2,-,-,-,-,4,-,-,1,4,-,-,-,2,5,-,3,-,-,12,1,-,-,-,-,2,-,-,1,2,-,-,-,-,4,-,2,-,-,9,1,-,-,-,-,2,-,-,-,2,-,-,-,2,1,-,1,-,-
459,"25201","293103","îÈìΩínàÊ","293102","","ëÂí√és","ñqÇRíöñ⁄",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
460,"25201","2932","îÈìΩínàÊ","293102","","ëÂí√és","è„ìcè„ñqí¨",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
461,"25201","2941","","","","ëÂí√és","ïΩñÏ",221,37,-,-,-,9,47,2,-,11,38,2,3,7,7,14,1,29,4,10,127,18,-,-,-,7,29,2,-,11,22,-,2,2,3,7,1,14,3,6,94,19,-,-,-,2,18,-,-,-,16,2,1,5,4,7,-,15,1,4
462,"25201","294101","","","","ëÂí√és","ïΩñÏÇPíöñ⁄",192,35,-,-,-,9,32,2,-,9,34,2,3,6,6,14,1,25,4,10,108,17,-,-,-,7,19,2,-,9,19,-,2,2,3,7,1,11,3,6,84,18,-,-,-,2,13,-,-,-,15,2,1,4,3,7,-,14,1,4
463,"25201","294102","","","","ëÂí√és","ïΩñÏÇQíöñ⁄",29,2,-,-,-,-,15,-,-,2,4,-,-,1,1,-,-,4,-,-,19,1,-,-,-,-,10,-,-,2,3,-,-,-,-,-,-,3,-,-,10,1,-,-,-,-,5,-,-,-,1,-,-,1,1,-,-,1,-,-
464,"25201","294103","","","","ëÂí√és","ïΩñÏÇRíöñ⁄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
465,"25201","2942","","","","ëÂí√és","è„ìcè„ïΩñÏí¨",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
466,"25201","2951","","","","ëÂí√és","íÜñÏ",221,22,-,-,-,8,48,1,2,16,32,4,-,11,17,11,4,33,4,8,125,11,-,-,-,8,30,1,2,14,16,2,-,5,4,6,3,17,3,3,96,11,-,-,-,-,18,-,-,2,16,2,-,6,13,5,1,16,1,5
467,"25201","295101","","","","ëÂí√és","íÜñÏÇPíöñ⁄",188,22,-,-,-,5,38,1,2,14,28,4,-,9,12,9,4,29,3,8,108,11,-,-,-,5,26,1,2,12,15,2,-,5,2,5,3,14,2,3,80,11,-,-,-,-,12,-,-,2,13,2,-,4,10,4,1,15,1,5
468,"25201","295102","","","","ëÂí√és","íÜñÏÇQíöñ⁄",10,-,-,-,-,-,1,-,-,1,2,-,-,-,2,1,-,2,1,-,6,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,2,1,-,4,-,-,-,-,-,1,-,-,-,2,-,-,-,1,-,-,-,-,-
469,"25201","295103","","","","ëÂí√és","íÜñÏÇRíöñ⁄",23,-,-,-,-,3,9,-,-,1,2,-,-,2,3,1,-,2,-,-,11,-,-,-,-,3,4,-,-,1,1,-,-,-,1,-,-,1,-,-,12,-,-,-,-,-,5,-,-,-,1,-,-,2,2,1,-,1,-,-
470,"25201","2952","","","","ëÂí√és","è„ìcè„íÜñÏí¨",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
471,"25201","2961","","","","ëÂí√és","é≈å¥",114,19,-,-,-,3,23,1,2,6,11,2,2,2,7,14,2,15,4,1,69,12,-,-,-,3,13,1,2,5,3,-,2,2,1,9,1,10,4,1,45,7,-,-,-,-,10,-,-,1,8,2,-,-,6,5,1,5,-,-
472,"25201","2962","","","","ëÂí√és","è„ìcè„é≈å¥í¨",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
473,"25201","2971","","","","ëÂí√és","ì∞",119,12,-,-,-,3,25,2,-,4,24,2,4,2,13,9,1,12,3,3,68,6,-,-,-,3,19,2,-,3,13,1,4,-,2,4,-,6,3,2,51,6,-,-,-,-,6,-,-,1,11,1,-,2,11,5,1,6,-,1
474,"25201","297101","","","","ëÂí√és","ì∞ÇPíöñ⁄",91,9,-,-,-,3,21,2,-,2,18,2,4,2,7,6,-,11,1,3,54,5,-,-,-,3,16,2,-,2,9,1,4,-,1,3,-,5,1,2,37,4,-,-,-,-,5,-,-,-,9,1,-,2,6,3,-,6,-,1
475,"25201","297102","","","","ëÂí√és","ì∞ÇQíöñ⁄",28,3,-,-,-,-,4,-,-,2,6,-,-,-,6,3,1,1,2,-,14,1,-,-,-,-,3,-,-,1,4,-,-,-,1,1,-,1,2,-,14,2,-,-,-,-,1,-,-,1,2,-,-,-,5,2,1,-,-,-
476,"25201","2972","","","","ëÂí√és","è„ìcè„ì∞í¨",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
477,"25201","2981","","","","ëÂí√és","êVñ∆",106,1,-,-,-,7,34,-,2,3,12,1,-,2,8,12,-,21,1,2,66,-,-,-,-,7,24,-,1,3,8,-,-,-,1,5,-,15,1,1,40,1,-,-,-,-,10,-,1,-,4,1,-,2,7,7,-,6,-,1
478,"25201","298101","","","","ëÂí√és","êVñ∆ÇPíöñ⁄",10,-,-,-,-,-,-,-,-,1,-,-,-,1,2,4,-,2,-,-,6,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,-,2,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-
479,"25201","298102","","","","ëÂí√és","êVñ∆ÇQíöñ⁄",96,1,-,-,-,7,34,-,2,2,12,1,-,1,6,8,-,19,1,2,60,-,-,-,-,7,24,-,1,2,8,-,-,-,-,3,-,13,1,1,36,1,-,-,-,-,10,-,1,-,4,1,-,1,6,5,-,6,-,1
480,"25201","2982","","","","ëÂí√és","è„ìcè„êVñ∆í¨",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
481,"25201","2991","","","","ëÂí√és","ëÂíπãè",84,4,-,-,-,6,31,1,2,4,5,1,1,2,4,5,-,10,4,4,52,3,-,-,-,5,22,1,1,4,3,1,-,-,1,2,-,6,2,1,32,1,-,-,-,1,9,-,1,-,2,-,1,2,3,3,-,4,2,3
482,"25201","2992","","","","ëÂí√és","è„ìcè„ëÂíπãè",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
483,"25201","3000","","","","ëÂí√és","ëÂç]",5268,79,-,-,1,334,1182,24,98,218,992,134,74,308,438,261,42,799,177,107,3113,52,-,-,1,291,816,22,68,195,500,69,55,146,119,119,31,442,125,62,2155,27,-,-,-,43,366,2,30,23,492,65,19,162,319,142,11,357,52,45
484,"25201","300001","","","","ëÂí√és","ëÂç]ÇPíöñ⁄",242,2,-,-,-,7,105,-,1,1,57,6,2,9,13,4,1,26,4,4,109,1,-,-,-,7,31,-,1,1,39,2,1,2,5,1,1,12,3,2,133,1,-,-,-,-,74,-,-,-,18,4,1,7,8,3,-,14,1,2
485,"25201","300002","","","","ëÂí√és","ëÂç]ÇQíöñ⁄",963,27,-,-,-,50,238,1,18,35,177,15,19,61,95,26,3,147,33,18,556,15,-,-,-,46,161,1,12,31,87,7,15,27,27,14,1,77,27,8,407,12,-,-,-,4,77,-,6,4,90,8,4,34,68,12,2,70,6,10
486,"25201","300003","","","","ëÂí√és","ëÂç]ÇRíöñ⁄",955,17,-,-,-,59,214,4,11,46,168,20,17,53,84,45,9,158,33,17,556,12,-,-,-,51,157,4,8,44,78,13,10,18,18,26,7,81,17,12,399,5,-,-,-,8,57,-,3,2,90,7,7,35,66,19,2,77,16,5
487,"25201","300004","","","","ëÂí√és","ëÂç]ÇSíöñ⁄",715,13,-,-,-,29,125,8,19,33,131,21,11,43,66,59,8,106,27,16,439,11,-,-,-,28,103,8,12,27,62,11,9,22,20,28,8,64,18,8,276,2,-,-,-,1,22,-,7,6,69,10,2,21,46,31,-,42,9,8
488,"25201","300005","","","","ëÂí√és","ëÂç]ÇTíöñ⁄",920,15,-,-,-,70,197,9,25,31,176,32,9,42,66,54,7,135,36,16,543,9,-,-,-,55,147,8,15,27,91,17,7,21,17,17,3,77,23,9,377,6,-,-,-,15,50,1,10,4,85,15,2,21,49,37,4,58,13,7
489,"25201","300006","","","","ëÂí√és","ëÂç]ÇUíöñ⁄",690,4,-,-,1,56,147,1,14,36,124,21,12,39,51,33,5,101,24,21,415,3,-,-,1,51,107,-,13,31,55,11,10,23,10,12,4,51,19,14,275,1,-,-,-,5,40,1,1,5,69,10,2,16,41,21,1,50,5,7
490,"25201","300007","","","","ëÂí√és","ëÂç]ÇVíöñ⁄",605,-,-,-,-,49,128,1,9,28,122,18,4,33,50,25,8,100,17,13,375,-,-,-,-,42,89,1,7,26,64,7,3,14,17,14,6,61,15,9,230,-,-,-,-,7,39,-,2,2,58,11,1,19,33,11,2,39,2,4
491,"25201","300008","","","","ëÂí√és","ëÂç]ÇWíöñ⁄",178,1,-,-,-,14,28,-,1,8,37,1,-,28,13,15,1,26,3,2,120,1,-,-,-,11,21,-,-,8,24,1,-,19,5,7,1,19,3,-,58,-,-,-,-,3,7,-,1,-,13,-,-,9,8,8,-,7,-,2
492,"25201","3070","","","","ëÂí√és","ëÂäû",4703,112,1,-,-,231,1030,18,69,178,817,144,84,282,408,269,29,769,118,144,2782,66,1,-,-,201,767,14,51,155,412,83,62,113,104,122,22,445,84,80,1921,46,-,-,-,30,263,4,18,23,405,61,22,169,304,147,7,324,34,64
493,"25201","307001","","","","ëÂí√és","ëÂäûÇPíöñ⁄",891,2,-,-,-,27,163,1,19,21,149,44,12,84,98,63,5,155,24,24,479,1,-,-,-,25,111,-,15,17,78,29,7,34,26,26,4,79,16,11,412,1,-,-,-,2,52,1,4,4,71,15,5,50,72,37,1,76,8,13
494,"25201","307002","","","","ëÂí√és","ëÂäûÇQíöñ⁄",968,49,-,-,-,48,218,3,8,41,164,27,28,55,50,51,7,152,26,41,572,30,-,-,-,40,153,3,6,35,74,20,19,20,15,22,4,91,17,23,396,19,-,-,-,8,65,-,2,6,90,7,9,35,35,29,3,61,9,18
495,"25201","307003","","","","ëÂí√és","ëÂäûÇRíöñ⁄",778,39,-,-,-,25,203,3,7,35,116,17,16,40,56,36,5,134,23,23,478,23,-,-,-,20,162,2,4,29,62,9,12,12,14,14,5,82,15,13,300,16,-,-,-,5,41,1,3,6,54,8,4,28,42,22,-,52,8,10
496,"25201","307004","","","","ëÂí√és","ëÂäûÇSíöñ⁄",580,1,1,-,-,31,153,5,16,17,107,11,5,25,62,39,2,87,12,6,358,-,1,-,-,29,120,3,13,17,56,5,4,13,13,18,2,51,9,4,222,1,-,-,-,2,33,2,3,-,51,6,1,12,49,21,-,36,3,2
