平成27年都道府県別年齢調整死亡率,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"第 2-45表　都道府県別年齢調整死亡率（人口10万対）,自殺・男女・年次別（昭和35・40・45・50・55・60・平成２・７・12・17・22・27年）",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
都道府県,男,,,,,,,,,,,,女,,,,,,,,,,,
,昭和35年,40,45,50,55,60,平成２,7,12,17,22,27,昭和35年,40,45,50,55,60,平成２,7,12,17,22,27
,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
自殺,,,,,,,,,,,,,,,,,,,,,,,,
24　三　重,28.9,23.2,20.4,19.7,22.4,23.3,17,18.3,25.9,25.2,24.6,24.6,21.6,14.3,17.6,14.5,12,11.5,10.4,9,9.8,9,8.8,8.8
25　滋　賀,32.3,17.5,17.4,23.4,19.3,22.5,18.1,17,27.7,28,28.3,22.2,23.1,21.8,15.5,19.5,13.3,10.1,9.1,7.8,7.9,11.3,11.3,9.1
26　京　都,30.8,18.5,20.7,23.6,24.2,24,18.5,20.6,32.2,27.4,30.3,21.2,24.2,19.4,14.9,16.4,13.6,12.9,12.2,8.9,11.2,10.4,10.2,8.8
27　大　阪,32.3,22.6,22.1,26.1,24,23.2,20.9,19.6,33.1,31,30,23.3,25.5,15.9,17.7,19.3,14.2,11.2,9.9,9.4,11.6,11.2,12.8,9.2
28　兵　庫,31.7,21.8,20.2,25.3,25.5,27.6,19.7,21.2,30.2,30.9,29.6,20.7,23.2,16.1,15,18.2,16.1,12.4,10.9,9.2,10.9,11.3,11.4,9.9
29　奈　良,29.2,18.6,16.5,22.9,22.3,24.2,17.5,14.6,23.2,26.3,25.2,21.1,23.5,15,11.4,13.8,14.5,11.9,8.2,9.3,8,11,8.9,7.6
30　和歌山,28.2,25.1,22.4,24.8,23.7,37.1,23.6,25,33.5,29.9,31.7,26.2,26.4,13.8,16.5,20.3,15.9,13.9,10.6,11,10.8,12.1,10.9,6.7
31　鳥　取,25.7,23.8,21.8,17,27.3,24.7,24.7,27.6,33.2,38.6,33.3,24.1,14.6,13.8,12.9,13.2,12.2,13.1,11.7,8.1,8.8,7,12.3,6.8
32　島　根,33.2,28.7,25.9,31.3,36.5,34.2,30.1,30.5,41.1,36.5,36.3,28.4,18.2,13.7,16.5,18.7,17.4,14.4,9.8,12.4,11.1,7.9,9.9,9.4
33　岡　山,21.5,19.2,19.3,21.3,22,25.3,19.5,17.5,23.2,30.8,30,23.3,18.1,14.7,12.6,12.4,11.8,9.1,9.2,7,10.1,8.5,9.1,7.8
34　広　島,30.9,22.3,21.3,22.7,24.4,28.3,21.9,22.4,26.9,29.5,29.1,21.6,23.2,16.1,13.8,14.5,14.7,10.7,11.1,9.8,9.7,8.3,9.8,7.8
35　山　口,36.3,27,23.3,25.7,27.4,29.7,20.1,24.5,33.6,33.8,32,25.2,18.2,14.4,13.2,17.3,16.4,13.2,8.8,10,10.9,12.1,12,9.3
36　徳　島,25.7,20.4,24.2,22.5,30.2,25.9,19.1,20.3,24.5,24.8,24.1,23.2,17.9,17.2,19.8,14.7,15.5,12.7,10.1,8.2,8,8.8,10.4,8.4
37　香　川,27.6,20.8,14.4,25.9,22.9,25.5,18.8,18.1,32.4,27.9,29.6,21.3,21.9,22.5,13.8,15,17.2,13.5,10.9,9.7,7.7,8,10.4,8.7
38　愛　媛,35.5,20.6,24.1,23.8,27.5,29.6,22,22.2,31,33.8,27.7,24.9,20.6,11.2,11.2,14.8,10.6,16.1,9.8,8.1,9.5,11.3,9.9,9.4
39　高　知,25.1,29.9,25.7,30.7,33.8,38.3,25.7,24.3,32.7,34.7,33.6,21.2,24.3,10.5,10.8,14.9,12.9,10.9,10.7,9.2,9.9,15.1,10.3,6.4
40　福　岡,33.7,19.7,19.5,26.4,25.8,31.4,23.9,23.4,33.8,36.2,31.6,23,16.4,12.3,12.5,12.7,12.7,11.6,10.7,7.9,10.4,9.4,10.1,8.3
41　佐　賀,32.4,17.9,18.4,20.1,23.2,33.4,18.2,20.4,36.3,36.2,37.1,22,17,10.5,8.4,11.7,12,10.1,11.4,8.2,9.8,9.8,8.9,6.1
42　長　崎,30.9,24.4,24.7,27,26.1,32.7,21.9,22.5,35.1,43.4,36,23,14.2,11.3,12.3,12.4,13,11.9,10.3,8.8,11.2,10.2,9.9,7.1
43　熊　本,24.9,20,22.1,22.6,24.5,28.1,19.8,22,29.8,33.3,32.6,27.4,14,11.1,14.3,13.6,12.1,10.9,8.9,9.2,10.6,10,10.7,7.8
44　大　分,26.7,20.8,22.7,24.6,25.3,30.6,22.2,22,34.4,33.1,30.8,20.2,17,15.2,14.8,12.3,12.3,11.3,9.8,8.7,11.3,9.4,9.5,10
45　宮　崎,32.6,26.2,30.8,34.3,37.4,32.4,30.3,31.4,42.9,41.2,35.8,27.5,20.2,11.2,17.8,14.1,14,14,11.4,12,12.7,10.6,9.9,8
