平成27年都道府県別年齢調整死亡率,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"第 2- 31表　都道府県別年齢調整死亡率（人口10万対）,脳内出血・男女・年次別（昭和35・40・45・50・55・60・平成２・７・12・17・22・27年）",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
注：脳内出血については、昭和55年以降計上した。,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
都道府県,男,,,,,,,,女,,,,,,,,,,
,昭和55,60,平成２,7,12,17,22,27,昭和55,60,平成２,7,12,17,22,27,,,
,1980,1985,1990,1995,2000,2005,2010,2015,1980,1985,1990,1995,2000,2005,2010,2015,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
脳内出血,,,,,,,,,,,,,,,,,,,
33　岡　山,56.4,33.4,24.4,20.5,16.9,17.3,18.3,13.9,37.8,21.1,14.1,13.4,9.8,8.3,6.7,6.8,,,
34　広　島,54.8,29.6,23,26.5,20.3,17.3,16.4,13.1,34.7,20.4,15.3,14.9,10,9.4,6.7,6.6,,,
35　山　口,63.1,38.3,24.9,23.4,22.1,18.9,14.7,12.9,40.8,24.2,14.1,14.9,9.6,10.6,7.2,5.6,,,
36　徳　島,71.5,29.5,22.4,28,22.3,16.1,13,13.5,50,22.9,16,12.6,10.9,9,6.6,7.7,,,
37　香　川,46.2,27.4,20.2,21.6,15.1,14.7,11.1,15.6,28.6,18.2,11.4,10.5,9.2,7.1,4.8,4.7,,,
38　愛　媛,53.9,26,22.2,22.8,19.2,19,14.2,15.7,33.2,18.7,15.4,12.6,8.4,8,7,5.3,,,
39　高　知,61.4,38.3,29.5,27.1,25.5,24.2,20.3,14.7,39.9,24.9,17.2,16.2,12.4,11.1,8.3,5,,,
40　福　岡,52.4,33.3,25.7,25.5,20.7,17.3,14.9,11,30.7,21.1,14.2,12.8,9.4,7.4,6.3,4.7,,,
41　佐　賀,57.9,38.8,28.7,28.2,15.8,19.6,12.8,15.2,41.5,21.2,18.6,15.6,10.5,8.5,6.2,5.7,,,
42　長　崎,77,42.5,26.1,25.1,18.4,17.4,16.9,13.3,42.7,24.9,13.7,13.2,9.6,8.4,6.6,5.5,,,
43　熊　本,61.9,34.2,28.1,27.9,17.8,18.2,17.9,13.3,38.4,24.6,15.1,12.4,9.8,9.2,8.2,5.6,,,
44　大　分,59.6,38.2,27,26,20.6,16,15.1,12.1,40.8,26.6,16.1,12.2,10.5,10.2,5.9,5.1,,,
45　宮　崎,60.8,41.4,27.5,26.7,19.8,19.4,18.5,16,41.4,25,15.3,13.1,12.5,10.4,7.8,7.7,,,
46　鹿児島,65.4,42.1,30.9,28.9,25.3,24.7,22.4,16.7,50.3,26.1,16.8,18.9,11.9,12.5,9.9,8.8,,,
47　沖　縄,60.2,29.9,23,28.4,26.2,21.3,21.9,18.3,30.3,15,14.6,12.6,8.8,8.1,7.4,6.5,,,
21大都市（再掲）,,,,,,,,,,,,,,,,,,,
50　東京都区部,58.6,40.2,30.2,26.9,21.1,19.3,18.7,14.6,40.7,24.6,18,16.2,11,9.4,8.1,6,,,
51　札　幌,45.9,25.7,15.7,19.2,15.8,18.9,14,12.6,31,17.8,9.6,9.6,7.6,8.5,6.4,5.5,,,
52　仙　台,… ,… ,22.1,22.6,17.6,24.9,25.2,19.4,… ,… ,13.8,15.4,9.3,10,9.4,9.8,,,
53　さいたま,… ,… ,… ,… ,… ,16.6,15.5,13.9,… ,… ,… ,… ,… ,9.1,8.3,5.9,,,
54　千　葉,… ,… ,… ,23.5,19.6,15.5,14.2,12.9,… ,… ,… ,13.7,9.4,9.4,5.9,7,,,
55　横　浜,53.6,39.8,26.1,25,22.2,19.1,17,14.4,37.4,21.7,16,16.4,12.4,8.5,8,6.7,,,
56　川　崎,68.8,43.1,31.2,28.2,24.1,23.6,18.7,14.7,35.6,29.3,20.6,16.7,13.1,10.2,7.6,5.8,,,
57　相模原,… ,… ,… ,… ,… ,… ,17.5,13.3,… ,… ,… ,… ,… ,… ,8.6,6.5,,,
58　新　潟,… ,… ,… ,… ,… ,… ,17.7,16.8,… ,… ,… ,… ,… ,… ,8.6,7,,,
59　静　岡,… ,… ,… ,… ,… ,27.2,19.3,16.5,… ,… ,… ,… ,… ,16,9,6.7,,,
60　浜　松,… ,… ,… ,… ,… ,… ,21.5,18.2,… ,… ,… ,… ,… ,… ,9.3,7.1,,,
61　名古屋,53.4,34.6,24.2,28.4,20.7,18.3,18.2,11.2,42.7,22.8,16.9,15.9,11.8,8.6,6.8,6.8,,,
62　京　都,46.2,37.7,26.2,29.3,17.2,20.1,14,10.8,37.5,26.9,17.7,15.7,10.6,8.3,6.2,6.1,,,
63　大　阪,54.6,35.9,24.5,22.1,20.2,19,18.2,14.1,35.4,20.3,13.4,11.7,9.5,9,5.9,5.3,,,
64　  堺　　　,… ,… ,… ,… ,… ,… ,14,10.1,… ,… ,… ,… ,… ,… ,6.2,3.5,,,
65　神　戸,58.2,34.9,24.5,24.9,15.9,15.1,16.8,14.6,38.9,23.4,14.8,13,10.4,7.3,6.3,6.1,,,
66  岡　山,… ,… ,… ,… ,… ,… ,14.2,12.9,… ,… ,… ,… ,… ,… ,5.8,5,,,
67　広　島,… ,24.4,16.4,24.9,24.2,19.4,14,14.1,… ,19.7,14.6,14.5,9.4,10.5,5.6,6.6,,,
68　北九州,51.6,27.7,25.5,26.2,21.1,18.7,17.3,11.8,29.8,20.3,14.9,13.1,11.3,8,5.9,4.5,,,
69　福　岡,45.4,31,23.2,19.8,19.5,16.1,14.5,9,27,17.6,12,11.8,9.2,7,5.7,4.1,,,
70　熊　本,…,…,…,…,…,…,…,13.1,…,…,…,…,…,…,…,5.7,,,
