平成27年都道府県別年齢調整死亡率,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"第 2-41表　都道府県別年齢調整死亡率（人口10万対）,老衰・男女・年次別（昭和35・40・45・50・55・60・平成２・７・12・17・22・27年）",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
都道府県,男,,,,,,,,,,,,女,,,,,,,,,,,
,昭和35年,40,45,50,55,60,平成２,7,12,17,22,27,昭和35年,40,45,50,55,60,平成２,7,12,17,22,27
,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
老衰,,,,,,,,,,,,,,,,,,,,,,,,
23　愛　知,169.6,120.5,76.8,42.2,32.6,22.2,16.4,10.3,7.2,7.1,8.5,12.5,146.6,114.4,85,45.8,39.4,24.3,16.2,10.2,7.1,8.3,10.9,15.7
24　三　重,170.1,106.1,76.8,51.4,43.1,27.7,25.4,20.3,9.9,9.9,11.6,13.8,159.8,98.9,81,51,40.1,30.2,23.1,20.3,10.4,11.8,14.2,18.1
25　滋　賀,108.4,89.9,61.1,42.2,35.5,22.3,14.5,7.7,5.6,5,5.7,9.1,112,80.6,63.5,38.3,38.9,27.3,14.5,8.1,5.6,5.6,8,11.5
26　京　都,177.4,119.2,77.1,51.8,40.5,23.7,15,6,4.4,4.3,5.2,7.8,168.1,113.1,88.4,52.8,43,25.9,14.2,7.4,5.1,5.7,7.5,12.2
27　大　阪,204,124.9,82.4,45.3,45.2,23.9,12.1,5.7,3.3,3.5,4.4,6.8,178,111,87.2,55,42.8,23,12.3,5.8,4.4,4.3,6.2,10.2
28　兵　庫,190.7,138.8,93.5,59.8,47.6,33,18.9,13.2,7.5,5.9,6.6,9.6,170.1,127.6,99.1,60.7,51.5,32.1,19.6,13.1,8.3,6.7,9.3,12.9
29　奈　良,174.3,104.7,69.9,43,37.3,28.8,20.3,9.8,5.4,3.6,4.4,6.8,152.8,93.9,77.5,48.1,40.9,26.2,18.5,11.8,7,5.6,8.3,12.1
30　和歌山,135.9,131.8,102.8,65,56.3,37.4,28,14.4,12.2,7.2,9.7,12.2,124.5,133.8,105.8,71,58.7,37,25.2,13.4,11.2,10,12.1,15.9
31　鳥　取,143.4,128.2,87.4,57,47.5,29.4,17.7,13.2,8,6.9,7.8,13,133.5,129.2,85.5,60,49,31.2,20.1,12.6,6.9,7.1,11.7,15.9
32　島　根,129.7,104.4,70.6,41,36.4,21.7,18.3,10,8.5,6.6,8.9,13.6,113.6,88.1,71.5,43.5,37.8,23.9,13.3,10,8.7,7.9,10,15.8
33　岡　山,173.8,121.9,91.9,46.4,41.4,27.4,19.3,12.9,8.5,6.5,5.7,9.3,145.6,121.3,90.6,53.4,45.5,28,20.6,11.8,8.8,6.9,8.2,12.9
34　広　島,153.2,118.9,68.8,45.1,37.2,27.3,18.2,10,6,5,5.3,9.1,140.3,114.1,78.6,48.5,38.9,25.6,17,10.2,6.5,5.6,8.9,14.1
35　山　口,130.1,109.8,80.6,43.2,40.9,20.2,11.9,8.1,6.7,6,7.1,8.8,126.2,111.7,78,44.2,39.3,18.4,11.7,7.4,6.9,7.5,8,13.3
36　徳　島,138.6,108.3,74,55.7,44.8,27.2,15,10.8,7.6,5.9,8.5,12.4,121.6,91.7,71.2,48.8,43.8,22.5,13.9,9,7.5,7.2,10.7,13.4
37　香　川,151.5,97.7,68.8,34.7,39.4,21.1,13.6,8.9,9.7,6.2,7.8,9.8,152.6,107.4,65.7,41.8,39.7,22.9,14.8,10.3,8.6,7.1,8.6,13.6
38　愛　媛,171.7,129,104,51.7,48.7,35.9,20.7,12.6,7.2,6.8,7.4,11.7,153.4,133.4,100.1,59.3,51.2,32.8,17.9,11.9,8,7.6,9.6,14.7
39　高　知,164.2,100.8,65.7,38.4,24.9,17.5,10.5,5.1,6.1,4.3,5.7,6.4,169.9,92.1,68.6,41.7,26.6,15.9,9.7,6.5,5,4,5.2,10.4
40　福　岡,148.3,102.8,61,29.4,23.9,15.3,8,5.2,4.2,3.3,3.6,5.8,131.2,108.5,65.1,32.2,26.8,14.3,9.2,6.2,4.5,4.7,5.5,9
41　佐　賀,145.1,103.6,69.7,36.3,28.6,19,12.5,11.7,6.2,4.7,3.8,6.4,149.6,103.9,70.7,40.5,32.6,19.5,11.6,8.5,6.4,6.8,6.3,9.8
42　長　崎,162.3,106.5,81.5,40.4,24.4,13.6,8.2,5.4,4.6,2.7,5.2,7.3,142.9,124.6,76.7,35.4,29.2,12.8,7.9,5.9,6,4.2,7.6,10.4
43　熊　本,133.2,105.9,75.8,38.6,28.9,14.7,9.7,6.8,5.3,4.5,4.8,8.7,125.2,103.9,78.3,43.7,28.1,15,9.7,5.7,5.5,6.6,7.8,12
44　大　分,141.9,96.7,59.3,33.1,23.7,18.2,11.4,9.3,4.2,5.8,5.6,7.9,128,106.3,78.5,32.5,24.1,17.9,10.3,6.3,6.2,6.3,7.4,10
45　宮　崎,127.1,98.4,52.8,32.6,24.6,15.7,9.7,7.5,5,3.8,5.2,7.1,115.7,99.4,61.1,34.1,27.6,12.8,8.7,8.3,5,5.7,6.7,10.2
46　鹿児島,132.4,111.2,78.7,42.4,38.3,22.6,13.6,7.8,4.7,4.1,5.3,8.7,116.3,98.8,75.9,46.3,34.8,21.7,13.5,7.1,5.3,4.4,6.4,10.7
47　沖　縄,… ,… ,… ,83.3,49.1,24.1,13,6,3.2,4,3.7,8.6,… ,… ,… ,77.3,40.9,24.1,13.8,6.6,4.5,4.3,5.7,10.3
21大都市（再掲）,,,,,,,,,,,,,,,,,,,,,,,,
50　東京都区部,117.8,79.7,43.8,26.3,19.6,11.7,8,5.5,4.3,4.2,7,10,109.3,88.5,56.3,30.1,21.5,13.6,8.2,5.8,5.4,5.6,8.7,13
51　札　幌,… ,… ,… ,20.4,11.1,6.1,3.2,1.7,2.6,2.1,2.7,6.7,… ,… ,… ,27,15.8,7.2,2.2,1.7,2.1,2.5,3.3,7.6
52　仙　台,… ,… ,… ,… ,… ,… ,13,8.8,6.1,5.6,8.3,13.9,… ,… ,… ,… ,… ,… ,14.2,5.7,6.2,6.4,10.4,16
53　さいたま,… ,… ,… ,… ,… ,… ,… ,… ,… ,6.2,5.4,11.6,… ,… ,… ,… ,… ,… ,… ,… ,… ,5.6,7.8,15.6
54　千　葉,… ,… ,… ,… ,… ,… ,… ,8.6,4.1,4.5,6.1,7.7,… ,… ,… ,… ,… ,… ,… ,9.5,6.7,6.3,7.9,12.4
55　横　浜,178.9,91.5,59.7,40.4,35.7,19,11.4,6.3,6.7,4.9,7.8,12.1,138.6,111.3,64.5,45.2,34,18.9,11.2,7,6.4,6.4,10,16.8
56　川　崎,… ,… ,… ,30.8,27.4,11.1,5.6,6.5,5.1,3.8,7.5,11.3,… ,… ,… ,49.4,26.4,14.9,8.8,6.1,5.6,4.7,8.4,14.3
57　相模原,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,5.1,10.3,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,7.5,14.5
58　新　潟,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,7.4,9.7,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,7.3,12.6
59　静　岡,… ,… ,… ,… ,… ,… ,… ,… ,… ,7.8,10.4,18.1,… ,… ,… ,… ,… ,… ,… ,… ,… ,8.2,13.9,20.5
60　浜　松,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,12.2,21.3,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,15.4,21.4
61　名古屋,150.2,104.2,62.7,31.3,29,17.9,10.3,5.5,5.9,4.5,6.7,11.2,156.9,96.8,80.3,32.4,30.6,18.4,13.4,6,5.8,6.1,8.8,14.1
62　京　都,196.2,120.5,70.4,44.8,33.3,18.2,12.2,5.2,4.2,4.1,5.4,7.4,177.7,107.7,82.2,43.3,36.5,20.4,11.9,5.8,4.5,5.2,7.4,11.8
63　大　阪,196.6,124.7,69.9,38.5,44.7,22.6,10.3,6.9,4.1,4.1,4.9,7.2,182.8,114.7,83.5,48,37.8,22.8,12.8,7.4,4.7,4.9,5.9,9.3
64　  堺　　　,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,3.8,8.3,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,6.4,10.2
65　神　戸,185.2,105.5,67.9,46.9,41.2,26.7,13.9,10,6.8,4.6,6.2,9.7,162.9,111.1,92.4,50.6,46.4,29.4,17.4,13.2,7.5,5.9,8.8,12.6
66  岡　山,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,5,9.5,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,7.7,13.6
67　広　島,… ,… ,… ,… ,… ,17.5,14.2,5.9,4.8,4.5,5.1,8.1,… ,… ,… ,… ,… ,16.3,11.4,7.8,5.9,4,8.2,14.3
68　北九州,… ,118.1,69,26,22,12.3,8.9,3.9,3.1,2.2,2.5,5,… ,134.7,72,32.5,24.8,13.4,8.4,6,3.3,4.4,4.5,8.1
69　福　岡,… ,… ,… ,19.1,17.9,13.4,3.9,4,4.1,1.4,3.3,6.5,… ,… ,… ,21.1,21.6,10.5,5.4,4.7,4.4,2.8,4.7,8.3
70　熊　本,…,…,…,…,…,…,…,…,…,…,…,8.3,…,…,…,…,…,…,…,…,…,…,…,10.9
