年,ラベル,年齢調整死亡率
2005,43　熊　本,90.9
2010,43　熊　本,87.3
2015,43　熊　本,81
1960,44　大　分,164.4
1965,44　大　分,160.3
1970,44　大　分,185.9
1975,44　大　分,206.6
1980,44　大　分,200.6
1985,44　大　分,208.8
1990,44　大　分,206.7
1995,44　大　分,211.9
2000,44　大　分,202.5
2005,44　大　分,179.5
2010,44　大　分,172.4
2015,44　大　分,151
1960,44　大　分,124.7
1965,44　大　分,125.9
1970,44　大　分,122.8
1975,44　大　分,119.5
1980,44　大　分,123.2
1985,44　大　分,105.4
1990,44　大　分,100
1995,44　大　分,101.4
2000,44　大　分,96.3
2005,44　大　分,87.4
2010,44　大　分,82.1
2015,44　大　分,80.3
1960,45　宮　崎,165.3
1965,45　宮　崎,181.5
1970,45　宮　崎,210.4
1975,45　宮　崎,208
1980,45　宮　崎,204.1
1985,45　宮　崎,205.4
1990,45　宮　崎,207.7
1995,45　宮　崎,211.6
2000,45　宮　崎,210.9
2005,45　宮　崎,183.9
2010,45　宮　崎,173.6
2015,45　宮　崎,165.1
1960,45　宮　崎,124.3
1965,45　宮　崎,127.9
1970,45　宮　崎,128.6
1975,45　宮　崎,116.4
1980,45　宮　崎,111.3
1985,45　宮　崎,104.9
1990,45　宮　崎,98.9
1995,45　宮　崎,100.2
2000,45　宮　崎,92.7
2005,45　宮　崎,90.9
2010,45　宮　崎,89.5
2015,45　宮　崎,86.1
1960,46　鹿児島,139.5
1965,46　鹿児島,159.7
1970,46　鹿児島,182.2
1975,46　鹿児島,193.9
1980,46　鹿児島,200.5
1985,46　鹿児島,207.9
1990,46　鹿児島,202.5
1995,46　鹿児島,215.5
2000,46　鹿児島,212.6
2005,46　鹿児島,192.1
2010,46　鹿児島,176.7
2015,46　鹿児島,161.4
1960,46　鹿児島,101
1965,46　鹿児島,110.3
1970,46　鹿児島,97.8
1975,46　鹿児島,108.1
1980,46　鹿児島,102.8
1985,46　鹿児島,100.8
1990,46　鹿児島,98.1
1995,46　鹿児島,100
2000,46　鹿児島,97.6
2005,46　鹿児島,90.6
2010,46　鹿児島,91.6
2015,46　鹿児島,85.6
1960,47　沖　縄,
1965,47　沖　縄,
1970,47　沖　縄,
1975,47　沖　縄,165.6
1980,47　沖　縄,201.5
1985,47　沖　縄,183.6
1990,47　沖　縄,195.4
1995,47　沖　縄,202.7
2000,47　沖　縄,194.8
2005,47　沖　縄,177.1
2010,47　沖　縄,158.9
2015,47　沖　縄,153
1960,47　沖　縄,
1965,47　沖　縄,
1970,47　沖　縄,
1975,47　沖　縄,89.4
1980,47　沖　縄,95.1
1985,47　沖　縄,82.5
1990,47　沖　縄,86.5
1995,47　沖　縄,95.9
2000,47　沖　縄,87.8
2005,47　沖　縄,89.2
2010,47　沖　縄,85.2
2015,47　沖　縄,86.2
1960,全　　国,188.2
1965,全　　国,195.6
1970,全　　国,199.2
1975,全　　国,198.9
1980,全　　国,210.9
1985,全　　国,214.8
1990,全　　国,215.6
1995,全　　国,226.1
2000,全　　国,214
2005,全　　国,197.7
2010,全　　国,182.4
2015,全　　国,165.3
1960,全　　国,132
1965,全　　国,130.3
1970,全　　国,126.9
1975,全　　国,121.1
1980,全　　国,118.8
1985,全　　国,113.1
1990,全　　国,107.7
1995,全　　国,108.3
2000,全　　国,103.5
2005,全　　国,97.3
2010,全　　国,92.2
2015,全　　国,87.7
